beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
2.00597,2.03368,0.07712,0.06170,0.50721,0.46707,0.02555,0.11328,-0.05371,-0.06669,-0.00078,0.02375,-0.03729,0.03525,-0.09812,-0.16115,0.00030,0.01483,0.07636,0.04628,0.01021,-0.03515,0.08746,-0.08916,-0.03725,0.00607
1.99952,2.07612,0.04659,0.15374,0.48144,0.47613,0.01025,-0.01980,0.05804,0.03786,-0.02005,-0.08652,-0.00701,-0.02807,0.05314,0.00141,0.05281,-0.00986,0.03861,-0.02379,-0.17074,0.12614,-0.13338,0.00545,-0.22334,0.16934
1.95944,2.02581,0.04505,0.11000,0.51307,0.47457,0.07793,-0.02816,0.04960,0.01329,0.01899,-0.06371,-0.00778,-0.01741,-0.02662,-0.19996,-0.01657,0.02273,0.07479,0.08841,-0.10108,-0.04451,0.11229,0.01622,-0.04856,0.15395
2.03629,2.03725,0.04535,0.04261,0.45484,0.45670,-0.05047,0.00180,-0.00273,-0.01779,-0.02745,0.04755,-0.03906,0.06706,-0.00664,-0.03736,0.02549,0.00509,0.03038,-0.01078,-0.01560,0.04984,-0.06563,-0.06815,-0.09567,-0.03263
2.02585,2.03036,0.03221,0.08964,0.48772,0.46314,0.02253,-0.04169,0.00075,-0.03994,-0.03521,0.02874,-0.01335,0.00804,0.01883,-0.09009,0.02485,0.05033,0.02622,-0.00147,-0.09980,-0.03381,-0.06919,-0.08350,-0.12967,0.16541
1.95220,2.01967,0.07604,0.05129,0.49825,0.46433,-0.00692,0.00176,0.10758,0.06909,0.06272,-0.16395,0.02117,-0.01793,-0.02697,-0.05435,0.07750,-0.00165,0.05050,0.03110,-0.05146,0.08354,0.06384,-0.02258,-0.09139,0.02338
1.90933,1.97064,0.03907,0.06503,0.51397,0.46365,0.04060,0.03792,0.00195,-0.00680,-0.02911,0.08215,0.00075,0.06705,0.04823,-0.03187,0.02435,0.15130,0.11958,0.11604,-0.11005,0.03548,0.00129,-0.05548,-0.04395,0.07817
2.00991,2.01552,0.05861,0.06191,0.48159,0.46033,0.01864,0.03345,0.09731,-0.01946,0.01434,-0.03482,0.04907,0.09313,-0.04694,-0.05819,0.05505,0.06369,0.08628,0.07487,-0.09938,0.00125,0.05216,-0.01583,-0.02176,0.09153
1.98738,1.97199,0.05986,0.08016,0.47780,0.45865,0.06306,0.07730,0.11027,-0.00407,-0.03789,0.00076,0.04673,0.03872,-0.05405,-0.09113,0.08748,0.06922,0.09828,0.05027,-0.12696,0.03466,-0.02194,-0.00503,-0.04093,0.02128
1.97047,2.03621,0.02716,0.05480,0.51291,0.47716,0.00691,-0.03938,0.03168,-0.01284,0.00403,0.00343,-0.02707,0.04033,-0.02232,-0.04282,0.01228,0.00502,0.02263,0.05059,-0.03327,0.00840,0.01904,-0.02391,-0.09340,0.01900
2.04357,1.97878,0.00091,0.05347,0.50597,0.45683,-0.00065,-0.00139,0.00128,0.00046,0.00049,0.00120,-0.00041,-0.00062,-0.04622,-0.03848,0.05739,0.08436,0.06939,0.03755,0.02709,-0.01753,-0.00941,-0.05132,-0.06039,0.05937
