beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
1.97266,2.02318,0.00464,0.06739,0.48736,0.46799,0.00544,-0.00642,-0.00050,-0.00426,-0.00608,-0.00771,-0.00322,-0.00636,-0.04998,-0.05753,-0.04492,0.03645,0.03041,0.01483,-0.04969,0.02844,0.03264,-0.05143,-0.11064,0.05413
2.04746,2.07480,0.16975,0.08855,0.48471,0.46600,-0.14641,0.33877,0.01623,-0.03604,-0.01872,0.12717,0.12989,-0.03037,0.02604,-0.12594,0.06691,-0.00912,0.03140,0.05551,-0.01555,0.06223,-0.08785,-0.04526,-0.13614,0.00556
2.04480,2.07513,0.16123,0.09123,0.48534,0.46703,-0.11474,0.30825,0.00828,-0.06844,0.01049,0.18628,0.06382,-0.03755,0.02497,-0.13862,0.07650,-0.01314,0.01263,0.06630,-0.00887,0.05693,-0.07094,-0.04812,-0.13843,0.00039
1.98353,2.04657,0.03278,0.07540,0.49723,0.45266,0.04017,0.01992,0.03186,-0.03078,-0.06146,-0.01425,-0.01945,0.02155,-0.03576,-0.11757,-0.06239,-0.01870,0.02507,0.02661,-0.07425,0.01782,-0.08512,-0.00543,-0.14444,0.01133
2.01710,2.05520,0.01109,0.12857,0.49702,0.46180,0.01496,0.02203,-0.00730,0.00308,-0.00987,-0.01610,-0.00324,0.01365,0.01131,-0.11070,0.07300,0.02888,0.01307,0.02355,-0.09601,0.06733,0.01235,-0.11062,-0.13081,-0.02801
2.03388,2.00849,0.00275,0.05611,0.48047,0.47431,-0.00334,-0.00399,0.00408,-0.00443,0.00131,0.00296,-0.00050,-0.00396,-0.00732,-0.07799,0.00971,0.07100,0.06286,0.07252,0.00235,0.04611,0.00096,0.00804,-0.08285,0.05480
2.03211,1.98903,0.00285,0.06228,0.48638,0.46443,-0.00540,-0.00390,0.00161,-0.00174,0.00194,-0.00138,0.00563,-0.00404,-0.04066,-0.10155,0.06354,0.08779,0.11991,0.08838,-0.02925,0.11092,-0.02507,-0.03999,-0.08964,0.05059
1.98152,2.03546,0.26733,0.04569,0.49449,0.47148,0.17243,0.45781,0.03404,0.03544,-0.16738,-0.23837,-0.21178,0.17083,0.02806,-0.03034,0.00202,0.01975,0.03393,0.00487,-0.03075,-0.06216,-0.00491,0.01071,-0.00827,-0.01566
2.01396,2.00111,0.00857,0.05148,0.48718,0.46969,-0.01431,0.00198,0.01271,-0.00117,0.00330,0.00797,0.00896,-0.01006,0.03830,-0.03193,-0.02840,0.04000,0.07770,0.03345,-0.01169,-0.00165,0.05797,0.02690,-0.05935,0.05613
2.06556,2.02432,0.07465,0.05130,0.46980,0.48525,-0.09567,0.00196,-0.02582,-0.12208,-0.04548,0.05416,0.05737,0.03708,0.01598,-0.00754,0.00094,0.01610,0.03172,0.07681,0.03009,0.00192,0.02251,-0.00630,-0.05255,0.00008
1.98741,2.03301,0.01414,0.06305,0.48110,0.45197,0.01435,0.00671,0.00444,0.01812,-0.00691,-0.01601,-0.02947,-0.03115,-0.02850,-0.10960,0.06257,0.05847,0.07446,-0.00095,-0.03829,0.07878,-0.02429,-0.03092,-0.06419,0.05115
2.01362,2.02062,0.02955,0.04285,0.50071,0.45573,-0.02071,0.05926,0.01623,-0.00520,-0.00185,-0.08025,-0.02983,-0.07580,-0.03788,-0.06477,-0.01484,0.00879,0.03684,0.03488,0.03925,0.05125,0.01939,0.01360,-0.06960,0.00500
2.04419,2.01760,0.02565,0.05856,0.48965,0.46324,0.01594,0.00653,-0.02557,-0.00182,-0.01466,-0.03738,-0.05041,0.00975,-0.05841,-0.04517,0.03696,0.02752,0.03225,0.01887,0.08672,-0.00600,0.09395,0.08289,-0.07082,-0.00115
1.98573,2.01489,0.09154,0.07363,0.47802,0.47883,-0.03798,-0.09358,0.15155,-0.06608,-0.12481,0.00879,0.04950,0.00200,0.07720,-0.09136,-0.00135,0.03226,0.07645,0.04088,-0.12867,0.06894,-0.09536,-0.14123,-0.03526,0.06910
2.00859,2.08205,0.04451,0.03817,0.50578,0.46288,0.03710,-0.01930,0.03467,0.00780,0.02471,-0.07293,-0.04745,0.00023,0.00763,-0.09877,-0.01691,0.02045,-0.00941,0.03584,-0.03494,0.03007,-0.07716,-0.05499,-0.01160,0.00339
1.99300,2.06513,0.05009,0.04042,0.49525,0.46796,0.03930,-0.03460,0.05939,0.01715,0.07116,-0.05729,-0.04876,0.02366,0.03631,-0.09990,-0.03173,0.02082,0.00463,0.01038,-0.05137,0.00980,-0.06746,-0.05762,-0.01966,-0.00118
2.00089,2.05195,0.08831,0.02402,0.45603,0.48589,-0.01623,0.03377,-0.01169,0.01781,-0.19972,-0.12494,0.03234,0.01880,-0.05798,0.01240,-0.02694,0.01792,0.02298,-0.02189,0.01337,-0.00457,0.01748,-0.01118,-0.03060,-0.01261
1.96745,2.04023,0.11448,0.02014,0.45734,0.48417,0.02425,0.06416,0.06429,0.01506,-0.19871,-0.14372,0.01213,0.07027,-0.02113,0.01078,0.02319,0.02065,0.03101,0.00965,-0.01836,-0.00139,0.03876,-0.04027,0.00927,-0.00979
2.06014,2.00340,0.01242,0.03928,0.51829,0.44770,-0.00730,-0.01402,-0.00063,-0.00885,0.02404,0.01465,-0.02026,-0.01222,-0.03572,-0.05702,0.02434,0.04642,0.08377,-0.00778,0.02698,0.04783,-0.06144,-0.08130,-0.07348,-0.01093
2.00697,2.02782,0.04634,0.05933,0.46039,0.49055,0.00242,-0.00998,-0.06034,0.05117,-0.02214,0.03959,-0.00002,0.02591,-0.02584,0.00093,0.07332,0.00488,0.03620,0.01697,-0.00560,-0.08450,0.01679,-0.02676,0.02085,-0.00495
1.98376,2.04626,0.06334,0.08828,0.49668,0.45248,0.02569,0.08509,0.12919,-0.04123,-0.03392,-0.02260,-0.02512,0.04705,-0.00261,-0.24465,-0.02761,-0.00822,0.04041,0.00300,-0.02045,0.13856,-0.07343,-0.05477,-0.22283,0.06908
2.00650,1.98697,0.01155,0.08431,0.47454,0.48587,0.00738,-0.00264,0.00186,-0.01667,0.00159,-0.00478,0.01175,0.00017,-0.04158,-0.00956,0.05608,0.03814,0.13482,0.04888,-0.02001,-0.06630,0.04135,-0.05900,-0.04124,0.00331
1.97406,2.04016,0.02502,0.04954,0.51141,0.45344,-0.01525,0.04926,0.02212,0.03268,-0.01284,-0.00610,-0.01502,0.02135,0.06440,-0.10997,0.04499,0.04761,0.01992,0.03792,-0.03507,0.09726,-0.01826,-0.01877,-0.10617,0.00632
2.01740,1.99717,0.06293,0.06394,0.48181,0.48776,0.05070,-0.12685,0.04034,-0.02856,-0.00745,0.04274,0.02082,-0.00645,0.03647,-0.03684,0.08722,0.03295,0.13390,0.01143,0.02791,-0.00451,-0.01007,-0.15247,0.00447,0.04538
1.97789,2.05611,0.01681,0.01316,0.49900,0.45490,-0.01732,0.02614,0.02089,0.00145,-0.00433,-0.02169,-0.00112,-0.01253,-0.00565,-0.00633,0.00706,0.01030,-0.00664,-0.00282,-0.01216,0.00330,0.00175,0.00110,-0.02687,-0.00510
2.04643,2.05605,0.06194,0.01175,0.49503,0.47982,0.01592,0.03283,0.07664,-0.06184,-0.09198,-0.02830,0.04078,0.02597,-0.02036,-0.00207,0.01078,0.00308,-0.00197,0.01366,-0.01648,-0.01453,0.00186,-0.00241,-0.01586,-0.02135
1.97705,2.06467,0.20616,0.00484,0.48817,0.47410,-0.02786,0.07988,-0.00919,0.06717,0.03554,-0.32508,-0.14994,-0.02057,-0.00055,0.00226,-0.00196,0.00011,0.00081,0.00209,-0.00388,0.00343,-0.00501,-0.00681,-0.00110,-0.00618
2.02129,2.06609,0.02261,0.00107,0.51131,0.45796,0.01858,0.01055,0.03470,-0.02459,-0.03073,0.02241,0.02928,0.02352,0.00165,0.00038,-0.00050,-0.00025,0.00140,0.00024,-0.00099,0.00067,0.00117,-0.00024,-0.00142,0.00219
2.03130,2.03988,0.05985,0.00096,0.51970,0.48311,0.02026,-0.05259,0.00924,-0.01587,-0.07027,-0.04391,-0.03601,0.00037,0.00143,0.00083,-0.00020,0.00003,0.00085,0.00032,-0.00013,-0.00024,0.00101,0.00074,-0.00091,-0.00001
1.95347,2.03358,0.11399,0.00180,0.45436,0.45565,0.09168,0.13508,0.05980,0.05737,-0.05160,0.09916,-0.06941,0.05976,-0.00273,-0.00140,-0.00044,0.00110,-0.00156,0.00156,-0.00121,-0.00024,-0.00171,0.00103,0.00067,0.00017
1.97572,2.02666,0.06864,0.00006,0.46960,0.45212,0.02317,0.04717,-0.06913,-0.00162,-0.00814,-0.04790,-0.03139,-0.02185,0.00004,0.00008,0.00002,-0.00003,0.00003,-0.00008,0.00002,-0.00003,-0.00005,-0.00004,-0.00000,0.00003
1.97808,2.07192,0.01072,0.00009,0.49266,0.46470,0.00849,-0.00023,-0.01333,0.02817,0.00080,-0.02113,0.02153,0.01302,0.00001,0.00004,-0.00006,-0.00006,0.00005,-0.00014,0.00013,-0.00008,-0.00016,-0.00005,0.00003,0.00006
2.00073,2.03552,0.02466,0.00004,0.52574,0.48089,0.03542,-0.00904,0.03518,-0.02147,0.01641,0.01073,-0.01127,0.04810,0.00001,0.00008,-0.00003,-0.00002,-0.00000,-0.00003,0.00005,-0.00005,-0.00003,-0.00003,-0.00004,-0.00002
2.02599,2.03596,0.00503,0.00004,0.52233,0.47996,0.00257,-0.00396,0.00332,-0.00803,0.00534,0.00721,-0.00446,0.00189,0.00001,-0.00008,0.00003,0.00010,0.00001,0.00002,-0.00005,-0.00001,-0.00003,0.00004,0.00004,-0.00007
2.00083,2.04598,0.00766,0.00013,0.45855,0.46061,0.01078,-0.00353,0.01831,0.01230,-0.00582,-0.00545,0.00089,-0.01344,0.00004,-0.00014,-0.00034,0.00001,0.00005,0.00014,-0.00012,0.00010,0.00012,0.00007,-0.00015,0.00004
2.00214,2.04100,0.01650,0.00013,0.45525,0.45367,0.01623,0.00523,0.03659,0.02710,-0.00477,-0.00380,-0.00883,-0.03044,-0.00002,-0.00015,-0.00029,-0.00000,0.00005,0.00011,-0.00010,0.00013,0.00016,0.00006,-0.00016,0.00000
1.99450,2.04650,0.02207,0.00012,0.50819,0.48118,-0.00362,-0.00644,0.00138,-0.01912,0.00692,0.01991,-0.00578,-0.00311,0.00011,-0.00012,-0.00015,0.00002,0.00008,-0.00026,0.00006,-0.00014,-0.00011,-0.00005,-0.00005,0.00010
2.06047,2.05217,0.00946,0.00009,0.46807,0.45848,0.00314,0.01633,0.00756,0.00625,-0.01226,-0.01762,-0.00681,-0.00349,0.00004,-0.00004,-0.00015,-0.00003,0.00007,0.00005,-0.00005,0.00019,0.00006,-0.00010,0.00002,-0.00007
2.04108,2.05730,0.01370,0.00013,0.48728,0.46340,0.01641,0.00733,0.00539,0.00395,0.01580,-0.03045,0.01069,-0.00921,-0.00016,0.00012,-0.00013,-0.00006,0.00013,0.00001,-0.00012,-0.00024,0.00025,0.00002,-0.00002,-0.00011
1.96013,2.04809,0.04489,0.00181,0.47775,0.46217,-0.04577,-0.03090,0.00136,-0.02119,-0.03949,0.07833,-0.04221,0.03197,0.00287,-0.00153,-0.00020,-0.00214,-0.00066,0.00042,0.00123,0.00320,-0.00370,-0.00012,-0.00125,0.00373
2.04259,2.06438,0.01274,0.00273,0.47248,0.45768,0.00583,-0.00485,-0.00828,0.02096,-0.01795,-0.01460,-0.00771,0.02088,-0.00457,-0.00519,0.00100,-0.00342,0.00021,-0.00174,0.00081,-0.00029,-0.00289,0.00153,-0.00166,0.00445
2.01340,2.05036,0.00419,0.00278,0.49788,0.48347,0.00334,0.00250,0.00589,-0.00250,0.00714,-0.00330,0.00137,-0.00484,0.00342,0.00337,-0.00167,0.00122,0.00346,0.00187,0.00106,0.00026,0.00281,-0.00094,0.00155,-0.00271
2.02834,2.05282,0.02328,0.00423,0.48395,0.46048,-0.04600,0.04385,-0.05002,-0.00338,-0.02816,0.01123,-0.01375,-0.00661,0.00341,-0.00327,-0.00380,-0.00600,0.00274,0.00369,0.00328,-0.00262,-0.00086,0.00342,-0.00238,0.00242
2.07140,2.04793,0.04429,0.00698,0.48222,0.47721,-0.02402,0.12261,-0.06281,-0.03285,0.02786,0.02439,0.00004,-0.02042,0.00763,-0.00099,-0.00709,-0.00841,0.00467,0.01065,0.01173,-0.00776,-0.01471,0.01361,-0.01090,0.00193
2.05696,2.05816,0.07441,0.00774,0.48508,0.47439,-0.05135,0.11076,-0.05165,-0.04347,-0.02641,-0.04150,-0.05949,-0.04363,-0.00264,0.00061,-0.01060,-0.00384,-0.00067,0.00527,0.00172,-0.00012,-0.00344,0.01736,-0.00737,-0.00515
1.99371,2.04096,0.03842,0.00712,0.48656,0.46744,-0.00868,-0.03977,0.00900,-0.03342,0.01136,0.00271,0.02560,0.00788,0.00170,-0.00280,0.00082,-0.00924,0.00049,-0.00385,-0.00021,0.00080,0.00358,-0.01468,-0.00862,0.00106
2.00673,1.99505,0.06536,0.08154,0.48453,0.47048,0.00170,0.08787,-0.00122,-0.08941,0.00014,-0.01040,-0.09107,0.04765,-0.00352,-0.05180,-0.04146,0.05216,0.06627,0.10642,-0.04527,0.01496,0.02592,-0.03136,-0.08808,0.16234
1.98907,2.02704,0.05742,0.06089,0.47286,0.46544,-0.02164,0.16408,0.05008,0.00163,0.00711,-0.00611,-0.00797,-0.00933,0.01106,-0.03963,0.05693,0.02887,0.03809,0.04872,-0.13057,-0.03113,-0.03234,0.00632,-0.06725,-0.03324
2.02082,2.01559,0.14156,0.05957,0.46091,0.45271,0.03989,0.25807,-0.08301,-0.02899,0.02153,-0.17269,-0.02531,-0.00551,0.14645,-0.06576,0.02691,0.04417,0.06522,0.05334,-0.13179,0.09701,-0.04379,-0.01998,-0.09579,0.05608
2.02427,2.00672,0.00788,0.04930,0.50158,0.47130,-0.00562,0.00080,0.00480,-0.01396,-0.00402,-0.00577,0.00211,-0.00299,0.03807,-0.05925,0.03097,0.04616,0.05664,0.08914,-0.06878,0.10607,-0.06960,-0.03182,-0.07457,-0.02925
1.98185,2.03685,0.00530,0.08837,0.47708,0.48397,0.00071,0.00133,0.00039,-0.00037,-0.00247,0.01019,-0.00334,0.00451,0.00885,-0.13981,0.05184,-0.03997,0.05657,0.15267,-0.06537,-0.09418,0.02580,-0.07146,-0.04046,0.14408
1.92995,2.03441,0.04157,0.06722,0.48570,0.48073,0.02978,0.04710,0.03643,-0.01074,0.02019,-0.03717,0.06321,0.09655,-0.00169,0.00172,0.00511,0.05990,0.03496,0.01074,0.01764,0.11904,-0.05890,-0.07010,-0.10595,-0.03251
1.91039,2.03365,0.15529,0.05377,0.49038,0.45170,0.09194,0.22582,0.19888,0.04081,0.04506,0.06723,-0.01440,0.03333,-0.03453,-0.12710,0.04784,0.00222,0.05214,0.07514,-0.05619,-0.05188,0.03342,0.03172,-0.05880,0.07710
2.01765,2.01840,0.08998,0.11369,0.49444,0.46295,-0.00688,-0.24657,0.02606,-0.04283,-0.04486,-0.04956,0.04271,0.03852,0.04807,-0.02495,0.01670,0.05881,0.03519,0.02883,-0.00686,0.16017,-0.10851,-0.17373,-0.12867,0.00185
2.07498,2.00849,0.01117,0.05019,0.50362,0.46108,-0.00499,-0.01296,0.01000,0.00015,-0.00191,0.01043,0.00399,-0.00660,-0.01061,-0.08760,0.06053,-0.00863,0.04326,0.11798,-0.00106,0.03247,0.05979,0.00862,-0.04635,0.07579
1.95448,2.04320,0.06106,0.05469,0.48577,0.47606,0.03171,0.09393,0.02151,-0.08643,-0.06431,-0.01232,0.04122,0.05597,0.03070,-0.03087,-0.03010,0.02446,0.01645,-0.03730,-0.00166,0.01827,-0.08374,-0.07551,-0.05307,-0.05064
1.99016,2.06011,0.01088,0.03664,0.48605,0.46440,-0.00909,-0.01369,0.00233,0.00994,0.00675,0.00511,-0.00073,-0.00295,-0.04671,-0.03584,0.02084,0.00805,0.00818,0.08475,-0.04542,-0.01730,0.02927,-0.00528,-0.07533,0.03298
2.01923,2.03295,0.01391,0.01911,0.51458,0.47800,-0.00794,0.00801,-0.01058,0.01189,-0.00323,-0.01720,0.00035,-0.02268,-0.00022,-0.01218,0.03099,-0.01928,0.04658,0.00498,0.01166,-0.00934,0.00973,0.02410,-0.02313,-0.00124
1.99980,2.05125,0.02336,0.04148,0.44163,0.46649,-0.01553,-0.01000,0.01443,-0.02271,0.01612,0.00475,-0.02186,0.02535,-0.02107,0.00123,0.01891,-0.00906,0.03256,-0.00146,-0.08141,0.01533,-0.04053,-0.05478,-0.07226,0.01451
2.00849,2.06036,0.02818,0.10221,0.48488,0.46567,0.01682,-0.02929,-0.02123,0.00308,-0.04058,0.01787,0.01901,0.02023,0.09588,-0.23248,-0.02641,0.00889,0.04071,0.11415,-0.07105,-0.02466,-0.01413,-0.02345,-0.03823,0.12923
2.02635,2.02029,0.00262,0.07438,0.46708,0.46784,0.00321,-0.00201,-0.00007,0.00288,-0.00218,0.00244,0.00050,0.00093,-0.04199,-0.01691,0.03898,0.00692,0.07740,0.03588,0.01948,0.20001,0.07429,-0.01716,-0.15284,-0.04983
2.01505,2.05040,0.07506,0.03601,0.49364,0.47302,-0.09231,-0.00432,0.06664,-0.10454,0.01159,-0.05053,-0.06164,0.04116,-0.02575,-0.03817,0.03523,0.03904,0.02190,0.04472,-0.02024,-0.02984,0.01314,0.02491,-0.11421,0.03925
1.99179,2.02998,0.02105,0.08664,0.49904,0.46080,0.02982,0.01789,0.02450,0.02570,-0.00574,0.03359,-0.00733,0.01635,-0.02431,-0.07989,0.07676,0.00438,0.09706,0.07927,-0.09869,0.07144,0.01539,-0.09056,-0.02027,-0.10198
2.02786,2.03746,0.02404,0.08094,0.45637,0.45979,0.01981,0.00053,0.01149,-0.02286,-0.00957,0.00924,-0.01892,-0.02177,0.12465,-0.14595,0.04499,0.06559,0.05768,0.09470,-0.04792,-0.01590,-0.06441,-0.05863,-0.12070,0.16546
2.01143,2.01928,0.03512,0.07211,0.47582,0.45730,0.03329,0.02250,0.01601,0.00032,-0.00233,-0.00831,-0.02199,-0.02579,0.04724,-0.14036,0.03145,0.02449,0.03156,0.07282,-0.06101,-0.05215,-0.00818,-0.08673,-0.13541,0.08148
1.94818,2.02435,0.10290,0.08598,0.51721,0.47565,0.04755,-0.04352,0.11426,-0.02688,-0.00044,0.04602,0.10628,0.07543,-0.10648,-0.03191,0.02171,0.01043,0.07193,0.00691,0.01063,0.14971,-0.02150,0.01943,-0.05290,-0.02935
1.98161,2.01404,0.06134,0.09574,0.50394,0.46038,-0.02558,-0.01745,0.14636,0.00360,0.01448,-0.05847,0.00057,0.01097,-0.03646,-0.09102,0.07147,0.07098,0.05050,0.06431,-0.01178,0.13181,-0.04602,-0.04903,-0.11357,-0.02601
1.98154,2.01320,0.06947,0.09626,0.50296,0.45968,-0.02905,-0.01572,0.15544,0.00330,0.01666,-0.06861,-0.00061,0.01725,-0.04115,-0.08424,0.07057,0.07486,0.05447,0.06242,-0.01535,0.14287,-0.04440,-0.03996,-0.12082,-0.03513
2.01091,2.02342,0.06179,0.09302,0.48700,0.47934,0.04644,0.03678,0.01979,-0.00036,-0.10444,0.04000,0.04387,-0.01392,-0.02544,-0.06073,0.01353,-0.00345,0.06738,0.03513,-0.02033,0.03462,0.05527,-0.08687,-0.09048,0.15141
2.02468,2.00626,0.03560,0.14801,0.48866,0.46570,-0.07432,-0.02281,0.00200,0.00695,0.00947,-0.00243,0.03041,-0.00818,0.07297,-0.09472,0.06853,0.09171,0.05462,0.12859,-0.07030,0.13348,0.07517,-0.01981,-0.15546,0.22117
1.98809,2.02979,0.01426,0.05769,0.48453,0.47007,0.02771,0.01959,-0.00183,-0.00225,-0.00523,-0.00044,-0.01740,-0.00721,-0.02816,-0.08038,0.02450,0.04165,0.03393,0.04460,-0.00480,0.06760,-0.03228,-0.02367,-0.07140,-0.01953
2.00375,2.00931,0.01095,0.09443,0.46262,0.45536,0.02055,0.01044,0.00400,-0.00110,-0.01222,0.00901,0.01133,0.00485,-0.02406,-0.10236,0.02725,0.00066,0.04672,0.11157,-0.14450,-0.02638,-0.07056,-0.08976,-0.04948,0.03248
2.00771,2.02151,0.01029,0.11723,0.46003,0.46119,0.01400,0.00491,0.01186,0.00035,-0.00855,0.00156,0.00024,0.00481,-0.02863,-0.02355,0.11287,0.07759,0.08727,0.05616,-0.24100,-0.09629,0.06425,-0.03973,-0.09377,0.16375
1.98838,1.99759,0.01017,0.07152,0.45117,0.47258,0.00648,0.01814,-0.00512,0.01287,-0.00528,0.01177,-0.01862,-0.00901,-0.05962,-0.02096,0.05579,0.05295,0.12557,0.09662,0.08696,0.13834,0.03684,0.01618,-0.00819,0.05641
2.00695,1.99611,0.01282,0.04682,0.47328,0.45447,0.01557,0.02462,0.00569,-0.00884,0.00718,0.01525,-0.00801,0.00574,-0.01488,-0.04303,0.05664,0.02192,0.06143,0.06817,0.01492,0.05420,0.02450,-0.00041,-0.01630,0.10581
1.98555,1.96450,0.00247,0.13204,0.48672,0.47128,0.00278,-0.00052,-0.00576,0.00137,0.00018,0.00320,0.00093,0.00180,0.02738,-0.05255,0.03901,0.10741,0.05498,0.08049,-0.06524,-0.00636,-0.02372,0.01364,-0.07396,0.02106
2.03551,1.98220,0.00160,0.07562,0.46631,0.47270,0.00007,0.00052,-0.00240,0.00185,0.00090,0.00109,0.00102,0.00137,-0.02689,-0.04095,0.05371,0.03535,0.11115,0.00297,0.01160,0.02658,0.07849,-0.00774,-0.05979,0.08993
2.01310,2.01831,0.08349,0.05534,0.48057,0.46401,-0.09083,0.03702,0.10831,-0.02348,0.04294,-0.03282,-0.09501,0.14324,0.01437,-0.04469,0.10057,0.03087,0.06035,0.05993,0.00363,-0.04146,0.03023,0.01405,-0.04522,-0.03937
2.01674,2.00033,0.01417,0.07944,0.49678,0.46243,0.01401,0.01849,-0.00814,-0.01769,-0.02098,-0.00422,-0.00514,-0.03472,-0.02894,-0.08048,-0.01044,0.07041,0.07772,-0.00872,-0.00181,0.18960,-0.05518,-0.03463,-0.08451,0.17717
1.98758,1.98950,0.01579,0.09722,0.49644,0.46148,0.02071,0.00958,-0.00260,0.00547,-0.01061,-0.00667,-0.01760,-0.02050,-0.01817,-0.10120,-0.02556,0.07882,0.09677,0.01845,0.02639,0.16928,0.07362,-0.06495,-0.06676,0.15688
2.01426,2.02211,0.00753,0.07054,0.49098,0.45891,0.00363,0.01259,0.00429,-0.00288,-0.00645,0.00429,0.00427,-0.01333,-0.03675,-0.08749,0.06962,0.05863,0.06454,0.06979,-0.08646,-0.00548,-0.03171,-0.00469,-0.12974,0.03990
1.99279,2.06690,0.02694,0.05939,0.47907,0.48045,-0.01056,0.00574,0.04798,0.00648,0.02100,-0.02855,-0.00384,0.00981,-0.03379,-0.03643,-0.05454,-0.02661,0.01400,-0.01460,-0.01654,0.00717,-0.02825,-0.09043,-0.10889,-0.01453
1.96793,2.13221,0.08653,0.19432,0.50221,0.47290,0.00380,0.04768,0.12828,0.03885,-0.03485,-0.02701,-0.12298,-0.04167,-0.13779,-0.20612,-0.03188,-0.03868,-0.06664,0.05401,-0.25832,-0.00467,-0.11831,-0.19377,-0.22119,-0.04773
2.05212,2.04384,0.07231,0.06405,0.47907,0.46429,0.00472,0.00966,-0.05678,-0.06424,-0.03200,-0.04238,0.08473,0.05748,-0.03397,-0.11466,0.02299,-0.00488,0.03568,-0.00946,0.01698,0.00751,0.04406,-0.08996,-0.09565,0.07382
1.96528,2.06667,0.01600,0.05157,0.49429,0.48128,-0.00829,0.02058,0.01552,-0.00350,0.01671,-0.01150,-0.03027,0.00939,0.00700,-0.04262,0.02347,0.01407,0.04000,0.04322,0.03496,0.01005,-0.05532,-0.03030,-0.11718,-0.04013
2.00246,2.02494,0.06703,0.06262,0.50186,0.46084,0.04952,-0.02254,-0.02202,-0.08688,-0.00887,0.02711,-0.06479,0.00612,0.02344,-0.22673,0.01270,0.00701,0.06771,0.07976,-0.08892,0.12435,0.07067,0.06410,-0.14380,0.17604
1.98761,2.03748,0.02795,0.05117,0.50565,0.47373,0.03685,-0.00433,-0.00613,0.03167,-0.02446,0.02070,0.03982,-0.00240,0.00665,-0.05747,0.04797,0.00360,0.02405,0.04840,-0.03380,0.01942,-0.02043,0.07803,-0.05167,0.05908
1.99205,1.99131,0.01926,0.05847,0.47916,0.45646,0.01874,0.01671,0.02646,0.01849,-0.01261,0.01352,0.02226,0.00811,-0.10619,-0.11328,0.07895,0.05839,0.08458,0.04540,-0.00049,0.02501,0.00074,0.06325,-0.07264,-0.01407
1.92805,2.04176,0.08869,0.11411,0.48719,0.47094,0.02984,-0.13826,0.02546,-0.03974,0.01500,-0.01101,-0.08309,0.08798,0.19827,-0.02074,-0.00815,0.01831,0.03139,0.08666,-0.08509,0.10335,0.02212,-0.16273,-0.09770,0.15868
1.97628,2.01982,0.03416,0.03575,0.49132,0.47532,0.04713,0.08162,0.06469,0.04407,-0.01595,0.00208,0.07575,0.01054,-0.05258,-0.06958,0.03726,0.02505,0.07292,0.01434,-0.02622,-0.00212,0.01329,0.03274,-0.05316,-0.03248
1.97891,2.01129,0.02233,0.04235,0.49335,0.48150,0.02973,-0.00267,0.04609,0.01177,0.00156,0.01192,0.02363,0.00698,-0.04498,-0.07328,0.06763,0.01838,0.07361,0.02157,-0.02269,0.01593,-0.00489,0.03003,-0.06470,-0.06193
1.96947,2.03744,0.05408,0.04351,0.50306,0.45362,-0.02256,-0.10140,-0.02722,-0.02290,-0.02492,-0.04010,-0.03480,0.02883,-0.01392,-0.03871,0.04826,0.05625,0.04307,0.02535,-0.04117,0.04885,0.02865,-0.06012,-0.03642,0.07334
2.04849,1.97591,0.01549,0.07742,0.46047,0.46070,-0.00372,0.00535,-0.01566,0.00901,0.01545,-0.03957,-0.00574,-0.01323,0.05122,-0.11526,0.15747,0.00703,0.08892,0.05702,0.09184,0.13309,0.03932,-0.04574,-0.13717,-0.02940
2.02820,2.03393,0.02748,0.04969,0.47964,0.45462,0.02396,-0.00483,-0.01813,0.02098,-0.00121,0.00977,-0.01706,-0.06066,0.04121,-0.03743,0.05724,0.03419,0.05228,0.06395,-0.03915,0.00470,-0.03278,-0.02073,-0.03603,0.06743
2.03808,1.98454,0.04261,0.10697,0.53428,0.48165,-0.05570,0.02448,-0.01717,-0.04150,-0.05807,-0.03055,-0.01314,0.04454,-0.06540,0.00085,0.04142,0.05556,0.09321,0.07255,-0.06525,0.15269,0.03736,-0.03943,-0.14472,-0.06103
2.02905,2.02692,0.03433,0.07417,0.50477,0.47348,-0.02041,-0.02454,0.04317,-0.05493,0.02806,0.00645,-0.01742,0.05886,-0.04146,-0.06729,0.05812,0.03666,0.06002,0.07284,-0.00334,0.06210,0.00721,-0.01702,-0.02700,0.00813
2.02736,2.05298,0.04605,0.07237,0.50146,0.46903,-0.04526,-0.07498,0.03122,0.02299,0.02333,0.01033,-0.05587,0.04971,-0.06036,-0.10236,0.04938,-0.02257,0.01052,0.01111,0.04975,0.09980,0.05084,-0.08533,-0.06945,0.00987
2.07048,2.01960,0.02377,0.09559,0.50330,0.47278,-0.01178,-0.04358,0.01456,-0.01616,-0.02490,0.00448,0.00480,0.04421,-0.02475,-0.11420,0.03348,0.05277,0.05844,0.05960,-0.04891,0.00262,-0.05252,-0.01042,-0.15995,-0.03653
