beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,phi_manual,phi_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
-0.18732,-0.11868,0.22640,0.09252,14.56925,15.06576,0.12851,-0.26479,-0.09831,-0.11247,0.05329,0.24575,0.17409,0.35584,0.13730,-0.02413,0.03342,-0.04671,-0.07688,0.09175,0.03138,-0.00125,0.07820,0.23243,-0.00460,-0.04647
-0.01413,-0.09083,0.24057,0.08245,18.80637,14.49088,0.04537,0.25803,-0.19200,-0.16485,-0.23111,0.13104,0.23433,0.08432,0.04927,-0.11153,0.06914,-0.09147,-0.10619,-0.06858,0.10007,0.10602,0.14300,0.15760,0.00919,0.00988
0.06783,-0.07377,0.22869,0.10121,14.11066,15.24402,-0.09056,0.01339,-0.31364,-0.25207,-0.14334,-0.30033,0.02391,-0.03542,0.09220,-0.07240,-0.08424,-0.12168,-0.15671,0.04301,0.01135,0.02258,0.10458,0.22464,-0.02055,-0.13199
0.02609,-0.07900,0.26892,0.08643,16.11086,15.35324,-0.03959,-0.21360,-0.33039,-0.19949,-0.30048,0.04180,0.17939,0.13364,0.06761,-0.08709,-0.07580,-0.07705,-0.10677,-0.02091,-0.10826,0.01829,0.09733,0.27070,-0.03527,0.00086
-0.05283,-0.04497,0.11149,0.10985,13.69317,14.59493,0.12998,0.08144,-0.14249,-0.15077,-0.07105,-0.00924,0.09969,0.08369,-0.07697,-0.03141,-0.10276,-0.13414,-0.15387,-0.03619,-0.00237,-0.00200,-0.01813,0.32049,-0.05945,-0.03448
0.01910,-0.08958,0.14725,0.06172,12.87704,15.20984,-0.03274,0.30161,-0.29896,-0.02918,-0.12402,-0.08618,0.04353,0.05179,0.01654,-0.02382,0.03121,-0.09062,-0.12772,0.00634,0.03662,0.06157,0.02176,0.08840,0.02831,-0.00006
0.03460,-0.06270,0.20613,0.07913,13.86781,15.32761,0.00226,0.13834,-0.20859,-0.36260,-0.08911,-0.05921,0.13839,-0.07607,-0.08433,-0.04828,0.02110,-0.03913,-0.13320,-0.01169,0.05841,0.03668,0.09588,0.19618,0.06085,0.03743
0.05202,-0.08515,0.15989,0.06597,13.96569,15.22071,-0.04127,0.06723,-0.16592,-0.22206,-0.22229,-0.08559,0.08396,0.10203,-0.00807,-0.04913,-0.04912,-0.10655,-0.08694,-0.04491,0.07798,0.02116,0.13500,0.16551,0.05420,0.04524
0.00162,0.02695,0.25577,0.16647,15.48618,14.22111,0.02395,-0.13260,-0.21531,-0.23568,-0.09072,0.03593,0.26943,0.17510,0.09841,-0.18202,-0.12729,-0.18051,-0.27657,-0.10757,-0.14603,-0.00588,-0.05855,0.16781,-0.07727,-0.29873
-0.00143,-0.03865,0.15442,0.10809,13.57347,14.22380,0.07123,0.25203,-0.19668,-0.10899,-0.08264,-0.22666,-0.05144,0.08535,-0.08609,-0.01715,-0.01713,-0.11496,-0.16977,-0.04403,0.15609,0.05819,0.02920,0.09141,-0.02871,-0.09248
-0.05582,-0.06146,0.11813,0.10462,14.17354,15.31372,0.00478,0.06637,0.02763,-0.05067,-0.12442,-0.13193,0.01743,0.12505,-0.09943,-0.00366,0.02543,-0.14171,-0.15364,0.01458,0.07923,0.04084,0.10658,0.20066,-0.01945,-0.08313
0.02559,-0.02604,0.13035,0.13153,16.28209,14.74391,-0.00651,0.07074,-0.17150,-0.11168,-0.01652,0.09641,0.18254,0.10275,0.10504,-0.11784,-0.11630,-0.17214,-0.17839,-0.08926,0.01154,-0.04258,0.09519,0.11537,-0.01591,-0.06729
-0.10944,-0.02066,0.19350,0.13457,13.45738,15.27407,0.14023,-0.05789,-0.12173,-0.17551,-0.13101,0.11398,0.12891,0.18663,-0.16790,-0.07287,0.04131,-0.19102,-0.19199,-0.09887,0.07636,0.02446,0.09431,0.12346,-0.05624,-0.21785
0.02546,-0.05808,0.14366,0.08856,15.83865,14.72726,0.12560,-0.06844,-0.23141,-0.08102,-0.12520,0.04950,0.09279,0.03980,0.13659,-0.06491,-0.09109,-0.10676,-0.14590,-0.00635,0.00670,-0.02462,0.07548,0.15004,0.00481,0.09037
-0.08781,-0.08165,0.11279,0.07207,16.21242,15.03450,0.03638,0.01814,-0.15668,-0.13699,-0.03517,-0.00990,0.04495,0.05622,0.10997,-0.05308,-0.01994,-0.09967,-0.12248,0.03553,-0.01717,-0.02367,0.10585,0.07610,0.01743,0.12637
0.03604,-0.08076,0.09424,0.07841,16.11633,15.22196,-0.00617,-0.00920,-0.11846,-0.11164,0.00542,0.03704,-0.01404,0.03575,0.12778,-0.05055,0.00805,-0.16774,-0.11692,0.06092,-0.03210,-0.04496,0.09388,0.16081,0.02305,0.18221
-0.00002,-0.06682,0.25847,0.10857,13.91646,15.17193,0.09310,0.00719,-0.34083,-0.18312,-0.34877,-0.01767,0.12159,0.16275,0.01978,-0.09509,-0.07960,-0.05698,-0.16437,-0.17339,0.10027,0.10816,0.22159,0.17014,0.01273,0.07073
-0.11019,-0.10859,0.15920,0.04342,16.02151,14.74174,0.14786,-0.00480,-0.07050,0.07052,-0.09376,0.08231,0.14133,0.19495,-0.02444,-0.01310,-0.02823,-0.05276,-0.07351,0.01885,-0.01560,0.02584,-0.02712,0.11906,-0.00033,-0.06841
-0.20614,0.00332,0.25423,0.08549,13.61427,14.72347,0.18796,0.21833,-0.00152,-0.18112,0.14157,-0.00004,0.34353,0.20916,0.08697,-0.13259,-0.04597,-0.16240,-0.18118,0.05283,-0.06425,-0.06981,0.01100,0.08948,-0.04606,0.14300
-0.20736,-0.03839,0.15580,0.11926,15.02791,14.47866,0.18259,0.04423,0.01165,0.04130,0.04520,0.06659,0.30035,0.27860,-0.08896,-0.08547,-0.07440,-0.17449,-0.19376,-0.10174,-0.02210,0.01142,0.07523,0.08989,-0.02207,0.10943
-0.00235,-0.05076,0.17468,0.15391,15.82496,15.47954,0.03848,0.21297,-0.19525,-0.15681,-0.09409,0.10846,0.14799,0.16218,0.13196,-0.08925,-0.04846,-0.14036,-0.14416,-0.00859,0.12921,-0.02166,0.11693,0.12458,0.00986,-0.25545
-0.05440,-0.05839,0.19324,0.10928,15.22417,14.43362,0.03852,0.43793,-0.26690,-0.10626,-0.10101,0.14701,0.30488,-0.01458,0.01726,-0.02970,0.03386,-0.10574,-0.13341,-0.06525,0.15468,-0.03754,0.13131,0.14058,0.00089,-0.09743
-0.05316,-0.05060,0.13807,0.11906,15.15204,14.79698,0.11269,0.28117,-0.14017,-0.11489,-0.07165,0.11451,0.17285,0.11622,0.10882,-0.06121,0.01136,-0.12003,-0.15753,-0.00412,0.23115,-0.01157,0.09344,0.18349,0.02839,-0.08010
-0.02390,-0.09463,0.11972,0.09064,16.37911,14.92575,0.07786,0.01158,-0.13434,-0.14057,-0.20009,-0.03645,0.20112,0.14171,0.02969,0.01699,-0.02642,-0.09264,-0.08162,-0.07249,0.02567,0.13038,0.07289,0.15244,0.00130,0.02749
0.10919,-0.15700,0.15892,0.14744,14.60018,15.10328,-0.09216,-0.06027,-0.32561,-0.28959,-0.15632,0.04072,-0.11140,-0.05615,0.10270,-0.06051,0.04077,-0.00387,-0.02065,0.04813,0.14919,-0.01543,0.20689,0.18280,0.09859,-0.02394
0.06472,-0.15576,0.14368,0.20638,16.08849,14.51228,-0.10987,-0.05669,-0.41972,-0.20336,-0.25407,0.23058,-0.03329,0.05739,0.18228,0.15735,0.09543,0.00062,-0.02582,0.05152,0.21718,0.14407,0.04542,0.34114,0.08997,-0.12435
-0.09187,-0.07693,0.10728,0.11343,14.15815,15.08915,0.08568,0.01970,0.02075,-0.15115,-0.03815,-0.20979,0.18842,0.10221,0.04555,-0.09604,-0.02075,-0.15565,-0.15699,-0.03605,0.01063,0.01891,0.18675,0.23387,-0.01297,0.00361
-0.16088,-0.12354,0.25907,0.11974,13.69127,14.89865,0.23084,-0.14305,-0.20233,0.10950,0.03502,0.13182,0.24372,0.31465,0.03579,0.00932,0.04905,-0.03762,-0.06271,0.02382,0.14866,0.11730,0.18591,0.15182,0.03072,0.11436
-0.14747,-0.08230,0.21036,0.15668,14.71497,14.91184,0.13775,-0.06946,-0.06412,-0.06458,0.16423,-0.02546,0.12213,0.15877,0.08349,-0.07035,-0.01649,-0.10093,-0.10181,-0.01871,0.11820,0.05573,0.04853,0.35960,-0.07620,-0.13496
-0.10785,-0.07683,0.20211,0.08797,13.84457,14.78881,0.08978,-0.07748,-0.18610,-0.14104,-0.12117,-0.00924,0.33458,0.19993,-0.02986,-0.05671,-0.00349,-0.06395,-0.10485,-0.00117,0.00059,0.08289,0.04659,0.09603,0.02098,-0.17191
-0.11535,-0.08896,0.18729,0.08985,14.02217,14.73351,0.08662,-0.07222,-0.20984,-0.10807,-0.10778,0.02126,0.29887,0.17707,-0.04558,-0.03919,-0.00431,-0.07797,-0.11564,-0.01535,-0.01422,0.08107,0.05481,0.12043,0.00923,-0.16275
-0.08451,-0.05514,0.14714,0.13589,17.25803,15.10971,0.15651,-0.03861,-0.08744,-0.05217,-0.01464,-0.04264,0.11094,0.24468,0.12472,-0.15694,0.01073,-0.11833,-0.13982,-0.00339,0.10732,-0.02360,0.17132,0.24485,0.01704,0.07176
-0.04522,-0.06243,0.16129,0.07481,14.11752,14.95814,0.04320,-0.09132,-0.17072,-0.19527,-0.15196,-0.02081,0.21582,0.03690,0.01221,0.02559,-0.02948,-0.13581,-0.15155,-0.03469,0.01006,0.05903,0.08491,0.09298,-0.02617,-0.02178
-0.06733,-0.04789,0.11793,0.12182,14.47666,15.18843,0.06331,0.06857,-0.12055,-0.05147,-0.18446,0.01606,0.21366,0.05219,0.10868,-0.11643,0.09677,-0.13265,-0.16442,-0.12967,0.12519,0.03763,0.24179,0.13856,-0.02350,-0.12552
-0.02873,-0.10930,0.13046,0.11945,15.08224,15.38899,0.05833,-0.11666,-0.22757,-0.17615,-0.12911,0.05999,0.17372,0.24585,0.07129,0.02605,-0.05851,-0.09415,-0.10240,0.10540,0.06131,0.02165,0.01602,0.17487,0.02507,0.09165
0.05609,-0.06835,0.23846,0.10367,13.39829,15.01926,-0.02066,0.07564,-0.26205,-0.15910,-0.16897,0.07304,-0.05018,-0.09625,0.01002,-0.13147,0.02012,-0.15721,-0.13415,-0.00324,0.02674,0.09963,0.05760,0.07654,0.01496,-0.04905
0.03539,-0.07170,0.10975,0.05772,15.66659,14.73902,-0.00864,-0.04023,-0.18788,-0.18226,-0.17619,-0.10647,0.05227,-0.01214,-0.01852,-0.00194,-0.06247,-0.09849,-0.10383,-0.03645,0.01069,-0.03374,0.02840,0.11323,-0.04944,0.02418
0.13071,-0.02349,0.28053,0.12622,16.90828,15.05246,-0.12789,-0.04619,-0.31596,-0.27824,-0.33029,0.12134,0.00152,0.08915,0.08934,-0.06306,0.06446,-0.14443,-0.16956,-0.06752,-0.02201,0.06662,0.25375,0.18802,0.00550,-0.05759
-0.14550,-0.03169,0.11411,0.09620,13.87878,13.62205,0.11354,-0.00412,-0.02652,-0.03326,-0.00172,-0.01326,0.15087,0.24228,-0.08189,-0.05624,0.01905,-0.13072,-0.17985,0.01533,0.11320,-0.00985,-0.02249,0.23438,0.01084,-0.04542
-0.09693,-0.09957,0.13421,0.05600,13.50101,14.45585,0.13012,-0.04993,-0.10931,0.00110,-0.04096,-0.03709,0.18459,0.20927,-0.02056,-0.04494,0.02180,-0.07839,-0.10759,0.01532,0.04638,-0.02648,0.03325,0.13125,-0.03013,0.07225
-0.07813,-0.08657,0.11475,0.05495,13.38133,14.53805,0.08394,0.00302,-0.08218,-0.02344,-0.07002,0.02661,0.05874,0.16213,-0.00235,-0.06492,0.03615,-0.11715,-0.09842,0.01075,0.04495,-0.02506,0.02254,0.14142,-0.02333,0.03178
0.01392,0.00723,0.21889,0.21900,16.81983,15.54481,-0.03356,0.14642,-0.30843,-0.17337,-0.05455,0.00116,0.29822,0.03563,-0.12919,-0.10583,-0.11121,-0.21566,-0.22298,0.03444,-0.06392,0.09174,0.10192,0.12836,-0.05913,-0.23085
-0.14150,0.01701,0.16587,0.12953,15.43365,14.08692,0.15542,0.05895,-0.01473,-0.11080,-0.11503,-0.14079,0.08751,0.28403,0.02005,-0.14555,-0.10512,-0.19533,-0.20218,-0.10147,0.06432,-0.12051,0.06758,0.11740,-0.07186,0.00718
-0.15861,0.02970,0.33943,0.15250,16.09605,14.66066,0.15321,0.17711,-0.04094,-0.07077,0.14141,0.36732,0.56525,0.17025,0.07000,-0.14053,-0.08078,-0.18921,-0.20990,-0.10450,-0.03282,-0.02239,0.12099,0.05311,0.00649,0.03193
-0.13078,0.02938,0.21582,0.22172,14.84990,15.08692,0.17770,0.13944,-0.07416,-0.03640,-0.14591,0.06911,-0.00651,0.31254,-0.16126,-0.12987,-0.10703,-0.18030,-0.20121,-0.07357,0.13118,-0.06182,-0.02602,0.09737,-0.15470,-0.04823
-0.02961,-0.08003,0.21424,0.08349,13.99902,14.44466,0.04194,0.30850,-0.19782,-0.20173,0.02124,-0.07375,0.31091,0.08659,0.05861,-0.05969,-0.00425,-0.09748,-0.11881,-0.05142,0.00628,0.00027,0.17399,0.16479,0.04725,0.07520
-0.09325,-0.08737,0.23984,0.11176,15.17374,14.06040,0.05453,0.35454,-0.24257,-0.15714,0.04653,-0.08338,0.37102,0.06089,0.06378,-0.02276,-0.02076,-0.14193,-0.11552,-0.10932,-0.04673,-0.00300,0.20415,0.26659,0.07187,0.13024
-0.10609,-0.09859,0.10791,0.07488,13.30344,15.33504,0.07737,0.00326,-0.05739,-0.10797,-0.07728,0.02940,0.06003,0.20153,0.02797,0.03325,0.01009,-0.06174,-0.12119,0.03176,-0.03719,0.15013,0.06804,0.12477,-0.02773,-0.04807
-0.09239,-0.08638,0.14413,0.08083,13.57160,15.69325,0.12252,0.04074,-0.12844,-0.07863,-0.08444,0.09537,0.07826,0.41238,0.04560,0.08301,-0.00578,-0.09044,-0.10021,-0.03779,-0.05983,0.18656,0.08283,0.13555,-0.00032,0.01998
-0.03329,-0.05770,0.09800,0.10131,13.81588,14.49288,0.08405,0.07277,-0.02917,-0.10365,-0.12814,0.11428,0.01359,0.03016,-0.01805,-0.13418,-0.06607,-0.14537,-0.12868,0.01094,0.05242,0.00166,0.07386,0.19304,-0.00602,0.01837
0.04644,-0.06160,0.17255,0.12488,14.27914,14.78675,-0.08105,0.10959,-0.33221,-0.33991,0.05980,0.18027,0.01945,0.14162,0.02185,0.10880,-0.01119,-0.10717,-0.15645,-0.06637,0.12946,0.07072,0.12292,0.08556,0.04271,0.01607
-0.04248,-0.11716,0.07478,0.11574,14.42931,15.33606,0.07666,-0.13545,-0.01593,-0.12646,-0.06894,0.05663,0.10283,0.05234,0.11120,-0.20202,0.03369,-0.04502,-0.07996,0.06418,-0.00017,0.05490,0.09783,0.28095,0.01044,-0.01225
-0.09873,-0.13410,0.14236,0.09940,14.35946,15.03484,0.19107,-0.43212,-0.08444,-0.26453,-0.12652,0.13841,0.21545,0.10541,0.02204,-0.09017,0.07628,-0.01545,-0.05471,0.02789,-0.05375,0.10255,0.08909,0.22709,-0.00229,-0.15140
-0.08016,-0.13450,0.07222,0.12951,14.69779,14.82162,0.09474,-0.06343,-0.03804,-0.06360,-0.09868,0.08586,0.06518,0.07716,0.05709,-0.07987,0.06117,-0.07369,-0.07625,0.06681,0.08854,0.15742,0.08996,0.29945,0.12912,-0.19203
-0.11150,-0.16382,0.15121,0.13570,14.54099,15.54515,0.11532,0.09380,-0.08151,-0.31884,-0.06964,0.13910,0.28270,0.13611,0.14434,0.04189,0.02648,0.01995,-0.07139,0.06819,0.30539,0.03725,0.12329,0.15490,0.09917,0.04435
-0.11288,-0.16046,0.07397,0.14198,16.05046,14.80415,0.05945,-0.00894,-0.11042,-0.08079,-0.05954,0.08322,0.10392,0.08379,0.03395,0.02862,0.11822,-0.06897,-0.06535,0.03363,0.14952,0.13123,0.25802,0.33803,0.13375,-0.09126
0.00236,-0.10854,0.07370,0.09717,16.92982,15.11868,0.07738,0.01387,-0.11854,-0.06874,-0.10682,0.09919,0.10143,0.11954,0.05007,0.04519,0.08311,-0.05178,-0.07248,0.01116,0.12167,0.07471,0.11101,0.20545,0.00316,-0.01225
-0.00619,-0.07241,0.42573,0.14691,13.24418,14.97700,0.13530,-0.03451,-0.15369,-0.01566,-0.16884,-0.26212,-0.02675,0.15920,0.04096,-0.12013,-0.03956,-0.12797,-0.11556,0.01958,0.04138,-0.02823,0.05530,0.23487,-0.07538,-0.05936
-0.12382,-0.04211,0.25550,0.14659,14.42565,15.02087,0.02775,0.02978,-0.09229,-0.02235,-0.03012,0.25291,0.22172,0.16963,0.02968,-0.00085,-0.04396,-0.19448,-0.15538,-0.12099,0.15411,-0.00710,0.10758,0.08155,0.02203,-0.20484
-0.15188,-0.04329,0.12928,0.09923,15.00884,14.84697,0.21509,-0.14842,-0.02017,-0.05561,0.01580,-0.09448,0.25228,0.23752,-0.09937,-0.15862,-0.04849,-0.12886,-0.14882,0.02325,-0.00320,0.02604,0.00453,0.21230,-0.09079,0.05526
0.22222,-0.08691,0.41621,0.11165,15.69382,15.13911,-0.15537,0.22458,-0.38457,-0.49614,-0.35830,0.25010,-0.19905,-0.08418,0.13318,0.05135,-0.02102,-0.12156,-0.10922,-0.04624,0.09345,0.01961,0.18412,0.12533,0.07741,-0.04824
-0.01847,-0.06943,0.16249,0.08899,15.55237,14.45993,-0.00875,-0.08262,-0.13763,-0.13604,-0.14287,-0.22614,0.10000,0.08199,-0.00601,-0.03013,-0.01586,-0.08386,-0.12811,0.02817,0.06167,0.12037,0.00960,0.15705,-0.04126,-0.00187
-0.05127,-0.09384,0.14673,0.13777,15.37459,15.08427,0.03202,0.04897,-0.18246,-0.05119,0.01430,0.24772,0.22453,0.15568,0.13012,-0.07066,0.00759,-0.08482,-0.10843,0.08077,0.17334,0.00864,0.06986,0.24586,-0.01407,-0.29378
-0.09281,-0.07772,0.11026,0.10506,14.42354,15.06102,0.08071,-0.00865,-0.17502,-0.05212,-0.02885,0.16294,0.17797,0.08881,0.02978,-0.00378,-0.02868,-0.08590,-0.11720,0.01478,0.19040,0.07319,0.06268,0.16886,-0.00214,-0.17371
-0.16965,-0.06782,0.19393,0.11199,13.39814,14.55585,0.16647,-0.18313,-0.07416,-0.06793,-0.03082,0.14743,0.35840,0.21376,-0.03150,-0.00989,-0.07371,-0.10372,-0.11355,-0.07496,0.15943,0.06870,0.21005,0.21918,-0.00055,-0.22419
-0.16087,-0.07936,0.21885,0.07770,14.37860,15.32248,0.08866,0.25113,-0.06730,-0.07406,-0.02107,-0.14049,0.13853,0.27439,0.03972,0.03830,0.00516,-0.08297,-0.16084,0.04183,-0.02803,-0.00427,0.17816,0.06670,0.04883,0.02389
-0.10424,-0.10190,0.33627,0.07575,15.63458,15.13708,0.18900,-0.18079,-0.09752,-0.03054,-0.23080,0.46386,0.26594,0.32721,-0.03622,0.02426,-0.02294,-0.10031,-0.10889,0.01495,0.11192,-0.09186,0.08233,0.20001,-0.01528,0.06801
-0.04752,-0.09898,0.13187,0.04778,13.61037,15.64531,0.05622,-0.19685,-0.08292,-0.01362,-0.17584,0.04592,0.03932,0.04296,0.00941,0.01343,-0.03449,-0.06411,-0.07083,0.03606,0.02732,-0.06470,-0.04266,0.12938,-0.01753,-0.00726
-0.07209,-0.06482,0.23081,0.08224,14.94345,15.84852,0.12099,-0.22181,-0.08047,-0.35764,-0.08014,0.02620,0.23802,0.20703,-0.00875,0.02243,-0.04791,-0.11412,-0.13755,0.01373,0.00810,-0.02319,0.09365,0.03762,-0.06031,-0.05332
-0.06043,-0.03557,0.12245,0.12516,14.65573,15.12589,0.02986,0.00828,-0.11618,-0.03517,-0.12222,-0.03129,0.19457,0.10088,0.04665,0.01186,-0.06741,-0.17321,-0.15741,-0.00200,0.05962,-0.04090,-0.05676,0.22301,0.05608,-0.00630
-0.06542,-0.04248,0.11526,0.13824,15.19914,15.05300,0.03540,-0.06093,-0.04269,-0.00938,-0.06532,-0.02525,0.05589,0.14270,0.01804,-0.08304,-0.02884,-0.14673,-0.15918,-0.09128,0.18951,-0.02532,0.03849,0.16433,-0.02679,-0.09371
-0.01106,-0.00901,0.07058,0.13807,14.77573,14.60033,-0.01053,-0.06159,-0.06185,0.05973,-0.08475,-0.01666,0.04035,0.02821,-0.05899,-0.06165,0.00186,-0.18578,-0.19641,-0.01935,0.01051,0.05566,0.19203,0.11746,-0.01649,-0.17332
0.03314,-0.05080,0.09373,0.11805,14.20488,15.82716,-0.01050,0.02249,-0.17763,-0.27889,-0.08902,0.10611,0.07968,0.05286,0.03473,-0.11706,-0.11168,-0.09563,-0.14491,-0.10167,0.06580,-0.04022,-0.02434,0.14625,-0.06097,0.09484
-0.02955,-0.12215,0.15207,0.10252,14.95930,13.99961,0.09394,-0.06547,-0.14000,-0.16269,-0.09094,-0.17306,0.01129,0.04811,-0.00546,-0.01662,-0.04711,-0.02393,-0.08536,-0.01871,0.06548,0.01779,0.21198,0.21063,0.00594,-0.15718
-0.09787,-0.10899,0.16163,0.10680,14.85754,15.96536,0.18625,0.02364,-0.04283,-0.06387,0.03740,0.23429,0.13371,0.11989,0.12078,0.02996,-0.07918,-0.03568,-0.09945,0.04141,0.12365,-0.04054,0.01132,0.22792,0.07917,0.11839
-0.07756,-0.02980,0.12451,0.07630,16.27902,14.18137,0.14286,0.11031,-0.09239,-0.04251,-0.05472,-0.04714,0.23192,0.12842,-0.02820,-0.12062,0.05689,-0.12649,-0.19767,-0.06033,-0.00052,0.02311,0.13355,0.06606,-0.05919,-0.06342
-0.13462,-0.00253,0.20979,0.12585,13.77128,15.70060,0.16602,-0.35635,0.08750,-0.14690,-0.08510,0.11841,0.13323,0.24646,0.07523,-0.02815,-0.17288,-0.13398,-0.20556,-0.03841,0.05966,-0.04009,-0.03142,0.22163,0.00482,0.11228
-0.10607,-0.04894,0.23839,0.10285,15.88050,14.87238,0.12267,-0.25041,-0.17051,-0.14079,-0.03052,0.12962,0.31404,0.15549,-0.01181,-0.04730,-0.04353,-0.17690,-0.13916,-0.02768,0.21603,-0.04600,0.01920,0.11945,0.01355,0.09080
0.03645,-0.11988,0.20664,0.08986,14.20632,15.03231,-0.08301,0.17857,-0.19103,-0.34845,-0.16734,0.01187,0.16243,0.05216,-0.00842,-0.00218,0.01332,-0.06595,-0.12798,0.03874,0.00938,0.01775,0.00842,0.11792,0.03348,-0.14337
-0.02214,-0.05558,0.15069,0.13703,14.25123,15.12283,0.05005,-0.02820,-0.22665,-0.21555,-0.11454,0.02507,0.04542,0.12299,-0.08819,-0.14199,-0.00896,-0.19263,-0.17799,0.02120,0.13722,0.22607,0.13657,0.22509,0.06205,-0.05409
-0.03379,-0.13915,0.20763,0.05628,13.52893,15.20429,0.01789,-0.15673,-0.10890,-0.21685,0.00422,0.22150,0.25867,0.16385,0.04541,0.00896,0.03958,-0.02771,-0.09674,0.01329,0.07494,0.02297,-0.02125,0.06623,0.06382,0.02039
-0.15299,-0.11124,0.16241,0.07668,16.00136,14.73616,0.20646,0.06767,-0.11044,-0.00526,-0.09215,0.23034,0.14076,0.24134,0.06631,0.01602,0.02086,-0.06239,-0.13757,0.05691,0.03961,0.16394,0.10214,0.15979,-0.02473,0.09639
0.01387,-0.04286,0.17285,0.12474,14.49402,15.24950,0.07341,-0.03999,-0.16167,-0.21022,-0.06164,-0.18161,0.15337,0.04458,-0.03531,-0.10646,0.00398,-0.08469,-0.15485,-0.12870,0.03923,-0.15599,0.12160,0.16826,0.01457,-0.20854
-0.00610,-0.05725,0.21507,0.10408,16.59654,15.18354,-0.08156,-0.22599,-0.26187,-0.27268,-0.17943,-0.04242,0.24443,0.10825,0.00261,-0.07805,-0.06257,-0.15761,-0.15789,-0.06923,0.10498,-0.08464,0.11959,0.13787,0.04457,-0.00790
-0.13568,-0.12573,0.17226,0.13696,13.18422,14.94077,0.18661,0.04032,-0.09487,-0.10440,-0.02171,0.11020,0.30666,0.07215,0.01298,-0.09320,0.05890,-0.01770,-0.07900,0.04565,0.02795,0.09344,0.16522,0.30930,0.13459,0.02599
-0.06774,-0.08930,0.14954,0.13086,14.70336,14.54431,0.12407,0.05755,-0.01582,-0.13764,-0.16522,0.16931,0.17329,0.15740,0.02937,-0.01771,0.00934,-0.11586,-0.07638,-0.02187,0.13305,0.04228,0.09714,0.14201,-0.01385,0.06758
-0.11448,-0.12665,0.15653,0.15726,17.37197,15.61556,0.13669,-0.02372,-0.10419,0.01965,0.13019,-0.19120,0.19039,0.20907,0.07443,-0.00382,0.04410,-0.12325,-0.06862,0.13394,0.06035,0.07363,0.19277,0.23641,0.10407,-0.04105
-0.11263,-0.11168,0.20029,0.11475,13.15763,15.68827,0.12562,0.10353,-0.18992,-0.02217,-0.08998,-0.13733,0.08805,0.18625,0.01295,-0.01077,0.01057,-0.02339,-0.10342,-0.03864,0.14024,0.06264,0.01359,0.19908,0.10974,0.04406
-0.09135,-0.06442,0.11717,0.09045,17.34825,15.03180,0.07582,0.18860,0.01301,-0.12811,-0.05265,-0.00625,0.20183,0.16171,0.04686,-0.03827,-0.01712,-0.13988,-0.13469,-0.00385,0.04254,0.02279,0.14428,0.11245,-0.08356,0.00162
0.01962,-0.13575,0.15388,0.10394,13.92296,15.11799,0.01986,-0.26395,-0.15258,-0.13722,0.06458,0.07604,0.05016,0.03042,0.02393,0.09472,0.04704,-0.06145,-0.08214,0.19780,0.12202,-0.02287,0.06243,0.28347,-0.00511,-0.02159
-0.10645,-0.09240,0.09171,0.08772,13.17520,15.92859,0.18450,0.05617,-0.07733,-0.07443,-0.06822,-0.09345,0.17207,0.16641,0.15910,-0.02415,0.02775,-0.11089,-0.15097,-0.10961,-0.01028,0.05379,0.16242,0.16027,0.00920,-0.09406
-0.08888,-0.08206,0.09111,0.08241,13.08569,15.91405,0.18155,0.07247,-0.07133,-0.06154,-0.07144,-0.09996,0.15963,0.17183,0.15206,-0.02976,0.01880,-0.09660,-0.13951,-0.09638,-0.02018,0.04742,0.16143,0.15095,0.00570,-0.09389
0.13461,-0.06372,0.27315,0.09947,15.69311,13.77966,-0.16371,-0.21179,-0.32319,-0.35863,-0.14738,0.26938,0.09246,0.03140,-0.11744,-0.04767,-0.04522,-0.08336,-0.14231,0.03315,0.10282,-0.02726,-0.00355,0.16810,-0.03748,0.02861
-0.03462,-0.07712,0.12526,0.12358,15.10723,16.42832,0.05354,-0.14943,-0.11701,-0.11039,-0.18661,-0.02678,0.02081,0.07743,0.07523,-0.03108,0.00445,-0.15339,-0.12850,-0.05894,0.03884,0.00897,0.21086,0.22030,0.02833,0.01061
-0.05749,-0.01883,0.19292,0.13667,17.30889,14.33253,0.06423,0.25966,-0.21754,-0.14525,0.03275,0.10376,0.17459,0.19542,-0.07522,-0.11533,-0.07974,-0.20705,-0.18184,-0.06086,0.07344,0.00477,0.00831,0.08188,0.01198,-0.13605
-0.00242,-0.04074,0.13928,0.12566,12.78564,15.79235,0.01829,0.01114,-0.12447,-0.23138,-0.27740,0.01887,0.10408,0.07556,0.05920,-0.08680,-0.05385,-0.16816,-0.13918,-0.08391,-0.00941,0.00926,0.19007,0.21229,-0.08687,-0.06759
0.06598,-0.08259,0.16349,0.12719,15.58014,15.68560,-0.09169,-0.10214,-0.28471,-0.18596,-0.09862,0.21209,0.00224,-0.00319,-0.12442,0.00926,-0.02079,-0.16455,-0.11701,0.00539,0.09237,-0.06461,-0.05347,0.11052,0.06865,-0.05810
