beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,lambda_manual,lambda_acclka,gamma_manual__1,gamma_Z_manual__3,gamma_Z_manual__4,gamma_Z_manual__10,gamma_Z_manual__11,gamma_Z_manual__13,gamma_Z_manual__14,gamma_Z_manual__17,gamma_Z_acclka__2,gamma_Z_acclka__3,gamma_Z_acclka__5,gamma_Z_acclka__6,gamma_Z_acclka__7,gamma_Z_acclka__8,gamma_Z_acclka__9,gamma_Z_acclka__11,gamma_Z_acclka__12,gamma_Z_acclka__14,gamma_Z_acclka__15,gamma_Z_acclka__16
2.12322,9.45270,2.16339,0.36262,1.69695,1.45201,-0.74418,-0.29130,-2.62944,-1.22791,-1.94228,-0.44874,2.61319,-0.66907,0.03524,-0.15453,-0.13946,-0.01546,-0.72658,-0.10668,-0.31822,-0.34531,-0.64414,0.35373,0.03989,0.25046
1.08311,7.05630,0.74132,1.45602,1.64622,1.43287,1.97846,0.71874,-1.20542,0.03626,0.78114,0.34225,1.16802,0.20762,-0.39194,1.02813,-0.66051,2.06913,2.29921,-0.77073,0.10359,-0.00528,0.61832,-0.71310,-0.55106,0.91582
2.48112,4.69763,2.18735,0.37749,1.65607,1.51386,1.00909,-0.37877,-3.04554,2.49098,-1.31385,-1.79866,-1.05169,0.78415,-0.06662,0.11715,0.09696,-1.09192,-0.34414,-0.02102,-0.07176,0.16409,0.14562,0.56624,0.00730,-0.15473
2.69402,5.47558,2.89805,1.32778,1.66472,1.52014,-0.44052,-1.07591,-3.26894,1.80806,-1.80805,-0.62080,0.85849,0.71782,-0.38410,0.30078,0.20793,-2.85902,0.85971,0.58761,-0.96597,-0.71610,0.65102,0.93792,-0.88309,-1.13550
1.28483,7.73569,0.80336,0.76954,1.71829,1.46117,0.76255,-0.77880,-1.54231,-0.29365,0.04748,0.78499,0.72111,-0.64850,0.47367,-0.14752,1.20283,0.58879,-0.72604,-0.33447,1.21500,-0.64382,0.12211,0.97364,0.16891,-0.55102
1.51456,5.16646,1.63837,0.78412,1.64506,1.47506,1.80039,1.06260,-1.90718,1.81132,-0.41343,-1.11535,0.16210,3.48795,-0.68707,0.18971,-1.62014,-0.81016,0.20761,-0.65678,-0.23249,0.74855,-0.38428,-0.53360,-0.22146,1.61650
2.86251,7.29900,1.56312,0.21078,1.70654,1.45439,0.19971,-0.33991,-3.25771,-0.74707,0.47306,0.99512,2.50188,-2.42020,0.29992,-0.16292,0.51439,0.20978,-0.04003,0.00919,0.10562,-0.25073,0.00301,0.14577,0.14812,-0.37402
3.30105,7.69697,1.67718,0.22543,1.67944,1.44510,-0.27730,1.35063,-3.92998,-1.34508,-0.31486,0.20266,0.61940,-1.13946,-0.22206,-0.33567,0.38404,-0.46165,-0.10337,0.11177,0.15028,-0.13129,-0.30579,-0.14987,0.15142,-0.20775
1.17956,5.24045,1.26297,0.25473,1.64924,1.47118,1.58229,-1.15257,-1.74737,-0.28051,1.96635,-1.14920,0.75877,0.66833,0.16803,0.07085,-0.46602,0.24833,0.21155,-0.18326,-0.04240,0.25997,0.16690,0.36148,0.05104,0.18162
1.16462,4.19000,1.36272,0.03764,1.70623,1.45163,1.06444,0.62634,-1.42911,0.91302,2.63354,-0.58142,1.07810,-0.34150,0.00752,0.02098,-0.05770,0.02670,-0.06398,-0.00883,0.00367,0.07432,-0.04833,-0.01138,-0.02589,0.03586
0.80173,3.51737,1.40435,0.12181,1.74146,1.45678,0.95420,1.62148,-1.04829,1.40542,2.48214,-0.73009,1.99932,-0.33691,0.04825,0.05114,-0.23348,0.11872,-0.17738,0.02128,0.02681,0.12765,-0.15277,-0.01695,-0.11725,0.10972
2.26893,4.11689,1.40630,0.03075,1.76193,1.44995,0.60633,1.38297,-2.51439,1.13172,0.65562,-0.58513,0.06197,-0.07379,-0.04414,0.03014,-0.02440,-0.03312,-0.01729,0.00745,-0.03450,0.01948,-0.02709,-0.01722,0.03869,0.02621
2.37938,6.53026,1.29799,0.36980,1.63422,1.44818,-0.55808,-0.64997,-2.64880,0.60697,0.98602,1.01177,0.42264,-0.92475,-0.69973,-0.02677,-0.04479,-0.23853,-0.08136,-0.04220,-0.34089,0.13239,-0.41501,0.08627,0.48932,-0.01074
1.11157,7.55858,1.43595,1.75444,1.72801,1.47580,1.32175,0.19589,-1.03815,-0.82578,-0.96417,-0.97882,0.84911,2.44038,2.09032,0.17755,-0.23902,1.11403,0.35374,0.22157,1.62379,-0.84995,1.69663,-0.41977,-1.71161,0.03436
