beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,lambda_manual,lambda_acclka,gamma_manual__1,gamma_Z_manual__3,gamma_Z_manual__4,gamma_Z_manual__10,gamma_Z_manual__11,gamma_Z_manual__13,gamma_Z_manual__14,gamma_Z_manual__17,gamma_Z_acclka__2,gamma_Z_acclka__3,gamma_Z_acclka__5,gamma_Z_acclka__6,gamma_Z_acclka__7,gamma_Z_acclka__8,gamma_Z_acclka__9,gamma_Z_acclka__11,gamma_Z_acclka__12,gamma_Z_acclka__14,gamma_Z_acclka__15,gamma_Z_acclka__16
2.44878,6.44646,1.56711,1.08482,1.66233,1.44665,2.70408,-0.58721,-2.80622,1.47829,-0.15727,-1.35132,2.34420,-0.06949,0.06102,-1.04690,-0.67152,-1.43043,-1.04847,-0.77429,0.72185,1.22201,2.73721,-0.97778,0.03680,0.68236
2.64889,5.27152,1.38297,0.69903,1.67516,1.49286,0.33677,-0.02469,-3.03303,-1.40000,2.55530,1.32999,-1.05769,-0.07693,0.34091,-0.00830,0.85391,2.05558,0.40675,0.03818,-0.76230,-0.92308,-1.60133,-0.10482,0.18376,-0.53789
0.49777,6.53920,1.56583,0.75469,1.63380,1.44276,1.43238,-0.59880,-0.84510,2.38206,1.63733,-0.23655,2.53208,3.16007,0.19207,-0.36807,-1.46322,-0.79081,0.07664,0.00145,-0.75576,-0.13248,-0.22879,0.89502,0.08397,-0.02384
2.63414,6.17883,0.88384,0.98901,1.63598,1.46756,1.65267,0.34463,-0.08890,-0.91643,0.19725,0.46843,-0.45689,2.16909,-0.20807,-0.04922,-1.19918,0.76645,-0.45330,-0.65972,-0.21323,-0.74866,0.96339,1.36984,-0.76015,0.98921
2.46299,4.89844,1.10710,1.01437,1.62190,1.46838,-0.48202,-0.50972,-1.75942,0.50530,-0.08724,-0.61708,2.52023,-1.43210,1.21782,0.25492,1.25636,-1.02898,0.87157,0.49330,0.01260,0.78181,-0.50499,-0.86118,1.34125,-0.72043
2.46669,10.20883,1.26889,0.52423,1.63122,1.40451,1.87423,-0.73182,-2.10201,-0.07452,-1.43154,-1.29560,-2.44369,0.45651,-0.79717,-0.30894,-0.14739,0.04491,0.50334,0.91721,0.14369,-0.04056,0.14599,0.86276,-0.33596,-0.31906
2.74089,3.97581,1.52219,0.12240,1.65697,1.50471,-0.11306,0.33620,-2.95941,-0.51204,1.16160,2.64314,4.82584,-1.25074,0.17964,0.03884,-0.02431,0.05088,-0.05722,0.05692,-0.13155,-0.02017,0.18138,-0.10612,0.05635,0.08365
3.21288,6.33646,2.04591,0.14075,1.67126,1.48640,-0.83182,0.51752,-3.64482,0.26486,2.08424,1.66654,6.12730,-1.62502,0.14657,0.13570,-0.03143,0.02179,-0.13012,0.02109,-0.31078,-0.16413,0.11642,-0.05408,0.06671,0.08233
2.27569,6.38916,0.78589,0.75166,1.61426,1.45039,0.99341,0.89640,-2.24889,-0.61466,1.02579,0.19325,-1.78591,0.25139,0.25933,-0.02333,0.60261,-0.89365,-0.15007,0.34760,1.23984,0.29150,-0.08484,-1.47604,-1.45992,0.32573
2.24535,8.99940,2.10513,1.25168,1.68134,1.44325,-0.01905,1.62051,-2.23163,-1.08642,-0.37617,-0.79820,6.75320,0.49226,-0.91973,0.15958,0.90095,-2.63578,-1.81268,-2.79749,-0.52999,1.83565,2.36496,0.82952,0.65746,1.83472
2.42539,5.87400,1.32546,0.75590,1.61653,1.47508,0.31366,0.77711,-2.90855,-1.12232,2.83514,0.01588,1.95495,-0.76995,0.62504,0.69250,0.07037,-2.19584,0.19662,-1.64996,0.37912,-0.27117,0.33509,1.06361,1.23960,-0.64167
1.42209,3.96565,1.36545,0.93363,1.68653,1.44997,2.14648,0.94589,-1.44098,1.68608,-1.60757,0.37059,-0.90360,0.41186,-0.61199,-1.95661,0.17905,1.85293,0.81145,-0.37390,0.33884,-0.10242,-0.15703,-0.21112,-1.56043,0.03840
1.33462,10.29475,0.56586,0.04384,1.61951,1.48593,0.46606,0.40661,-1.87827,-0.58447,0.02689,-0.57481,0.82762,-0.57323,-0.02675,0.03681,-0.03994,-0.03140,-0.07935,0.01505,-0.00223,0.03197,-0.00652,0.06205,0.07846,-0.00549
1.62892,11.19832,0.97974,0.38539,1.62285,1.44463,0.08288,1.80137,-1.35657,-0.76138,-1.56907,-0.57858,1.46635,0.16156,-0.55910,0.26129,0.01718,-0.98559,-0.12016,0.25835,0.54039,0.05130,-0.00129,0.27030,-0.21571,0.09453
1.33113,6.95622,1.05084,1.69823,1.69169,1.50720,1.63794,-0.36270,-1.83489,1.43763,1.94708,0.48991,-0.09733,0.01635,-0.65785,0.88517,-1.53056,-5.45952,-3.13159,1.04013,0.68723,-2.12238,0.90405,-3.60865,1.02151,-1.00620
0.80812,6.92459,0.69003,1.14130,1.72146,1.50334,0.36074,-0.03725,-1.15240,1.05732,1.01028,0.71299,0.28737,-0.03490,-0.21675,0.65867,-1.16660,-2.58937,-2.32414,1.58262,-0.18818,-0.45384,-0.19581,-2.12790,0.01043,-0.39494
1.34835,4.29827,0.72934,0.41836,1.67679,1.44847,0.86052,-1.77101,-1.59703,0.03026,-0.32563,1.49010,1.44287,0.15689,-0.42106,-0.08785,-0.27671,-0.23267,0.01620,0.24109,0.49703,0.52492,-0.09131,0.52377,0.35846,-0.11350
1.28252,5.62493,1.48807,1.42819,1.66059,1.47977,0.62868,1.89519,-1.65787,-1.12729,1.52661,-2.02767,0.02538,-0.18769,0.06842,-0.17767,1.99772,0.59868,0.26551,0.50812,-2.61337,1.05940,-0.31854,0.13079,1.15382,-0.05761
4.90694,5.36499,2.12826,0.50746,1.56777,1.45412,0.53781,0.29194,-5.16362,2.03531,1.74024,3.39376,-1.15796,2.98121,0.20143,-0.63118,-0.26113,0.07309,0.08306,0.03721,0.20043,-0.51901,0.06731,-0.61532,-0.45170,-0.42129
2.32815,5.82914,2.30502,1.31735,1.57929,1.47189,-0.28467,-3.05891,-2.63479,0.45465,-0.54016,0.66146,6.17476,6.35490,1.21755,-0.33463,0.54819,1.26356,0.66722,1.83378,0.76384,0.18458,-0.07394,0.70863,-0.58278,0.75083
1.83225,3.26468,0.74510,0.80393,1.79162,1.46617,0.98001,1.39219,-1.98446,-0.69952,0.31368,-0.03334,-0.18381,-1.24622,-0.15863,0.10097,-0.53863,-0.94830,-0.32099,-0.89831,-0.46257,-0.21257,0.33487,-0.13347,0.33710,0.13286
1.51318,5.49746,0.75261,0.93239,1.77175,1.46222,1.36679,1.25279,-1.60736,-1.43034,0.47505,-0.62128,-0.34226,-0.95994,0.02516,-1.01500,-0.30833,-0.76319,0.15158,0.06109,-0.53484,-1.56793,0.99291,-0.31411,0.43331,0.77231
4.22566,4.09108,2.21065,0.76134,1.52428,1.46767,1.41329,0.06327,-4.44274,3.15741,-2.12277,1.55169,2.02573,1.95306,0.16799,0.71525,0.52828,-1.00492,0.14896,-0.72476,0.44720,0.90645,-0.69320,0.63325,-0.07676,-1.18520
0.82142,8.04403,0.91198,1.03712,1.71262,1.46290,0.99711,0.31207,-1.03672,-0.00443,1.26212,-0.24816,0.30467,1.52904,0.63254,-0.61970,-0.42045,-0.19854,1.31915,0.59197,-1.06221,0.42456,0.87077,0.42125,1.72610,0.06724
1.75042,6.08329,1.73118,0.52372,1.59077,1.46434,0.82094,-0.65758,-1.77898,-0.46190,-1.52874,2.13481,0.23580,-0.87713,-0.29745,0.34771,0.21384,0.30585,-0.46517,-0.59685,0.53421,-0.27562,-0.41181,-0.19540,-0.81569,0.03494
2.72611,4.63693,1.22405,0.07310,1.55346,1.44407,0.32577,0.59489,-2.75715,-0.26661,1.72562,-0.68437,0.69802,-0.17425,0.03602,-0.02393,-0.03431,-0.02205,0.03522,-0.06652,-0.14450,-0.02315,0.03448,0.05350,-0.03728,-0.13411
1.33581,5.21016,0.75201,0.51413,1.80100,1.48992,0.11265,-1.57554,-1.15697,-0.62897,-1.26187,-0.11248,0.19379,-0.64583,0.06576,-0.17356,0.24714,-0.94006,-0.10393,0.05225,0.52417,-0.20429,-0.25760,-0.04080,0.48166,1.25191
1.21905,6.87407,3.00162,0.06126,1.60670,1.44145,1.65979,6.15952,-1.21553,1.18188,5.78235,-0.15016,-0.16742,3.60752,-0.08997,0.02110,0.00082,0.13947,0.01851,-0.00563,-0.07017,0.01218,0.03015,-0.00195,-0.06122,-0.14860
0.95409,4.27158,0.57484,1.67076,1.74028,1.50208,1.24425,-1.26979,-1.37595,-0.45793,-0.83714,-0.04920,-0.15085,-0.74460,2.75905,-1.91506,-0.46555,-3.21196,-0.13463,-0.41660,2.00841,-0.10575,-1.30766,0.73519,1.85761,3.58753
4.17919,5.26482,2.55792,0.56422,1.61122,1.42454,1.47978,6.70008,-4.38218,-0.52802,5.40554,0.61164,1.99365,4.73378,-0.92393,0.46481,0.28941,1.18025,0.01077,0.20854,-0.77000,0.07583,0.50449,0.11371,-0.56414,-1.09367
1.62152,7.84187,1.35945,1.48113,1.53091,1.46489,0.44507,-0.80678,-1.60731,-0.15814,1.61365,1.72032,0.62030,1.68040,-4.03496,-0.00761,0.59190,2.62192,0.10101,1.42307,-0.58903,1.31100,1.08956,-1.11031,-1.52825,-0.75732
1.32911,6.72480,1.34806,0.52448,1.75950,1.47415,0.85082,1.13748,-1.75963,0.14363,2.13327,0.21321,0.10141,-1.16173,1.31703,0.65059,0.00816,-0.10029,-0.09467,0.07619,0.22465,0.26027,0.09756,-0.22542,0.40885,0.78146
1.67101,4.86611,1.24313,0.01334,1.53075,1.45773,0.61086,-0.96319,-1.65104,0.90459,-1.26689,-0.39437,-0.01999,2.57129,-0.02783,-0.01785,-0.00001,0.00262,0.00304,-0.00201,-0.00550,-0.00615,-0.00144,0.01042,-0.00818,-0.01896
0.61896,8.73445,1.27403,0.59949,1.81142,1.46593,1.03157,-0.17676,-1.18518,-0.78897,1.53674,0.36618,1.33830,-0.76706,1.23898,1.17267,0.09009,0.14341,-0.16154,0.33918,0.24675,0.47509,-0.02978,-0.32133,0.37566,1.17979
0.50186,2.53407,1.34670,1.43541,1.53944,1.41220,2.34871,-0.05543,-0.58023,0.10553,-0.23999,2.82476,0.55474,2.17138,-1.03194,0.54263,1.67052,1.48009,1.87885,0.60478,1.41721,-0.24639,-1.80057,1.30246,-0.91177,1.43142
1.03636,11.21896,0.93408,0.20298,1.78906,1.51729,0.05157,0.10602,-0.82926,-0.01371,0.79290,-1.60788,-0.48671,-0.51444,0.14153,-0.07498,-0.24873,-0.25301,-0.19515,-0.06573,-0.22090,-0.05370,0.29108,-0.13645,0.13349,-0.15238
1.90680,5.02574,1.51365,1.20418,1.52174,1.43860,2.23622,1.91229,-1.87902,-0.69700,-0.72555,3.49670,1.62861,3.85029,-0.79365,0.85031,1.96308,1.45938,2.38418,0.93108,1.33877,0.33889,0.19906,1.12658,-0.28734,-0.40612
2.34244,10.48810,0.92660,0.39294,1.75303,1.47907,-0.45032,0.11450,-2.54177,-0.82352,0.60983,-2.69509,0.41843,-1.52802,0.59353,-0.26830,-0.52920,-0.58398,-0.64599,-0.32017,-0.58631,-0.17144,-0.06253,-0.38841,-0.10074,0.16214
6.11368,1.81722,2.91764,1.46286,1.57538,1.48924,1.04307,-0.37847,-6.32193,-2.49330,-3.04964,5.20190,-2.02922,-1.77740,-1.20818,0.08995,0.43429,0.79430,2.12348,2.06765,0.38499,2.58172,0.37605,1.02123,0.09554,-1.09057
1.27558,10.77844,1.04630,0.55423,1.69230,1.45779,0.35590,-0.16124,-1.19323,0.75242,1.33209,-1.94280,0.85072,-0.78551,0.94205,0.22098,-0.23500,-0.11361,-0.81412,-0.73015,0.74201,-0.70792,-0.29328,-0.42247,0.06171,0.30355
2.32388,7.51323,0.93588,0.58641,1.63211,1.45169,1.07454,0.40120,-2.79717,1.33876,2.27631,-1.29013,0.82645,-0.97399,0.67270,0.12318,0.86161,-0.46237,0.33776,-1.27993,-0.04112,-0.03761,0.17457,0.05493,0.04403,0.14118
1.92095,2.98835,0.94075,0.55017,1.65632,1.44446,1.32748,-0.23089,-2.04231,0.49611,1.81950,-1.28261,-0.57181,-1.45200,-0.11605,-0.16578,0.48678,-1.37549,-0.00663,-0.84659,-0.09038,0.31037,-0.52284,0.33063,-0.12928,-0.00329
4.81268,8.80622,2.28958,0.71003,1.66254,1.51522,0.21050,-1.02433,-4.83364,-3.00566,-4.11724,4.33350,2.18682,3.16073,0.33193,-0.61271,-0.35336,1.80341,-0.57918,0.86058,0.41766,-0.67979,0.28370,-0.42229,0.53651,-0.02655
2.00211,5.88647,1.17086,1.16840,1.61207,1.39561,0.46166,-0.09808,-2.13050,1.93412,3.25856,-1.41425,-0.82932,0.59625,0.73824,1.31684,1.45414,-1.73507,-0.56727,-1.12994,-1.41774,-0.06968,-2.83647,0.80262,-0.78803,-0.53280
2.62065,3.53519,0.87569,0.86977,1.63488,1.52201,0.41888,0.11116,-2.98537,0.16394,-1.03744,0.62169,0.95356,-0.70755,-0.35835,-0.81751,-1.16948,0.88771,0.81167,0.64423,0.94009,-0.07047,1.38359,-0.84621,0.61988,0.68540
1.06471,9.29247,0.86373,0.09034,1.58706,1.44286,0.61322,-1.47924,-1.02744,1.09163,-0.01201,0.61292,0.03071,-0.36644,-0.02537,-0.00286,0.04333,0.05319,0.02044,0.06904,-0.23409,-0.13052,0.09181,-0.09687,-0.18295,0.11547
3.21069,2.99950,1.68877,0.78159,1.67353,1.48004,0.19237,3.55594,-3.46715,-0.81670,0.71530,0.34153,0.65397,2.19120,0.25202,0.86217,-0.43714,-0.58995,-0.36561,-0.34834,1.51347,1.12756,-0.88189,1.32934,1.23670,-0.24322
0.45806,5.33680,1.74767,0.65975,1.71424,1.45445,0.70958,1.84420,-1.05073,2.38119,1.33082,-1.02090,0.86511,1.57055,0.61605,0.64949,0.01915,0.73826,0.37100,0.08472,0.58680,0.98522,-0.42978,0.97589,1.10413,0.18207
2.33966,4.25701,0.77327,1.36190,1.50901,1.44052,1.23893,-0.11358,-2.06893,-1.04083,1.29975,1.09689,0.76937,-1.12498,0.32991,-3.20748,-0.60190,-0.01769,-0.31759,-0.43302,-0.69621,-0.32146,0.21250,2.33676,-1.87074,2.61672
3.35940,4.52471,1.54380,0.70785,1.71625,1.50827,-1.48062,2.00816,-3.89574,-1.46764,-0.22982,-0.68418,0.65348,-2.88231,-0.42348,0.26232,0.42595,0.01176,-0.24711,0.22340,0.39527,-1.30372,0.70624,-0.70085,0.75301,0.19487
2.19499,5.98769,1.43148,1.24384,1.60673,1.43752,2.31482,-2.34064,-2.36922,0.43787,-0.36482,0.12414,-0.31069,3.00384,1.13561,-0.09135,-1.29155,1.01399,1.64081,0.23341,-0.40195,1.97634,-0.56138,1.02628,-1.26188,-0.49600
0.97032,4.73240,1.02151,0.71182,1.67807,1.48960,0.36603,0.88446,-1.04369,-0.60884,0.01595,-0.39308,1.10486,0.21798,-0.56343,-0.04907,1.15060,-0.79706,-0.82901,-0.36229,0.29387,-0.94794,0.82557,0.67883,0.46670,0.36725
1.96953,9.58980,1.32770,0.19650,1.64981,1.43105,1.87054,1.25879,-2.30755,-0.84995,-1.67021,-0.23862,-0.60280,0.50305,0.26029,0.04547,-0.28555,0.22124,0.16675,-0.18540,0.00466,0.18576,0.19284,-0.15098,-0.20895,0.01422
2.00278,8.02969,1.13810,0.02905,1.65553,1.46589,0.41306,-0.35754,-2.20594,-1.27310,-1.21378,1.05352,2.49432,1.81435,0.00345,0.01205,-0.00484,-0.00457,-0.02308,0.01006,-0.04811,-0.03952,-0.03043,-0.01951,0.01496,0.01730
3.30465,9.02569,1.62342,0.04980,1.69292,1.48209,-0.07811,-0.24343,-3.43241,-1.51049,-0.89318,1.96365,2.50041,2.34215,0.02361,0.05783,-0.00791,-0.02340,-0.06574,0.02549,-0.04553,-0.00174,-0.01325,-0.05248,0.02432,0.06283
2.13155,14.08794,1.32658,0.33305,1.63132,1.46078,1.08455,-0.82802,-2.60985,-0.70913,-0.25601,-1.05394,-0.69127,-1.78930,-0.17790,-0.69303,-0.05618,-0.29959,0.91643,-0.21848,0.29643,0.10405,-0.18096,0.13942,0.01083,-0.61859
3.16872,9.72395,2.01639,0.47304,1.68401,1.43122,0.31468,-0.79664,-3.34090,-2.26112,0.51617,-0.45778,2.63178,1.84920,0.26373,0.75213,0.32268,0.32985,-1.49878,-0.12786,-0.50147,-0.17521,-0.20158,-0.06202,-0.48343,0.36279
0.86355,2.83273,0.93765,0.54125,1.58216,1.52902,3.45203,0.22014,-1.37501,1.25539,0.74490,0.88718,-0.29301,0.76504,-0.25893,-0.41898,-0.50455,-0.57995,1.35201,0.27553,0.59986,-0.26372,0.31988,0.80242,0.26034,-0.01071
3.48494,5.59293,1.53060,0.36685,1.68366,1.42960,-1.73659,-0.70138,-4.10829,-2.81120,0.13048,-1.53712,1.53943,1.37306,0.19217,-0.05520,0.34723,0.47641,-0.73535,0.02000,-0.15594,0.42612,-0.36715,-0.38840,-0.14308,-0.08660
3.42604,9.04450,1.56012,1.21549,1.67978,1.45468,1.57925,-1.64501,-3.77280,-1.46298,-0.83179,-0.73494,-0.07899,-0.58364,-0.48599,-0.69977,1.37362,0.92218,0.50998,0.14271,-1.15618,1.33263,-1.16588,0.63772,0.28771,0.91826
4.37588,7.53574,1.32269,0.55066,1.66748,1.43983,0.90822,-1.56491,-4.85650,-1.31225,-0.20997,1.75379,-1.92495,1.80172,0.47273,0.42808,1.01342,0.71151,0.28080,-0.46319,-0.50871,0.22929,-0.46560,-0.03917,0.63249,0.73775
3.84199,10.42151,2.32108,0.21571,1.58875,1.43636,0.55293,-1.55866,-3.99989,-0.37994,-0.21077,1.14447,2.84301,-0.93964,-0.20158,-0.21097,0.00870,-0.40409,-0.02515,0.01132,-0.29884,-0.18821,0.05748,0.10086,-0.52743,0.37589
0.80539,9.30045,0.92717,0.40108,1.73028,1.50306,2.25454,0.20772,-1.29995,-0.71118,-0.27198,-0.63600,0.33578,0.09271,0.52652,0.44534,-0.06155,0.69065,0.08132,-0.29408,0.53904,0.29325,0.04687,-0.32282,0.99294,-0.75340
1.85671,4.68707,1.29571,0.67826,1.61931,1.46705,1.77218,-0.90862,-2.15642,-1.36820,-0.83880,-1.88086,0.84696,-0.60294,0.32722,0.65938,0.38105,0.05042,-0.48692,0.51360,-0.00642,0.29278,-0.43979,-0.29075,0.34868,-0.12099
1.91586,5.24508,1.08036,1.05586,1.63473,1.48011,1.73863,-0.56637,-2.41556,-0.19459,-0.50274,-1.50428,0.30416,0.08565,1.98219,0.26324,0.38865,0.36876,-0.37486,1.11543,0.45023,0.34279,-1.62303,-0.43526,1.01489,0.05676
0.94228,6.47104,0.82568,0.60480,1.66792,1.50747,1.17288,1.00475,-1.12632,-0.67787,-0.67648,-0.20598,0.65861,0.92093,-1.04739,-0.31641,-0.00565,0.02756,-0.11787,-0.64465,0.18330,0.91194,0.09603,-0.36953,-0.01870,0.54995
2.25077,7.28500,1.38278,1.11166,1.70977,1.50407,0.85963,-0.10858,-1.88979,0.94769,-1.12557,0.68215,-0.79145,0.16961,-2.18267,-1.47963,-1.18405,-1.21135,-0.28807,-0.15293,0.61632,2.81763,-0.03701,-1.04668,0.63450,0.98520
1.81466,4.96403,0.96226,0.61134,1.61046,1.43754,0.88285,-0.45193,-1.59142,0.66882,0.98691,-0.77868,0.22996,0.36844,1.43905,0.70759,0.85572,0.06608,0.45937,0.44597,-0.31548,-1.18121,-0.14424,0.84118,-0.30897,-0.65795
2.77432,8.53760,1.27320,0.24563,1.65138,1.48412,0.02809,0.17520,-2.65020,1.42433,-1.62448,1.79325,-0.07798,0.15802,-0.40652,-0.27316,-0.33877,-0.06975,-0.18503,-0.12934,0.17852,0.47826,0.06496,-0.32465,0.18650,0.29579
2.58373,6.90411,1.73816,0.07876,1.67078,1.49504,-0.73908,-0.57688,-2.48726,1.43833,-1.86949,2.68950,0.33434,1.27696,-0.15484,-0.06604,-0.15759,0.02764,-0.15150,-0.07402,-0.01519,0.11231,-0.02160,-0.07035,0.03959,0.01672
1.07830,7.20971,1.05185,1.52453,1.55077,1.43790,1.27891,0.53915,-1.38069,0.55060,0.55164,-1.03396,0.32973,1.41066,3.20771,2.18657,1.82230,1.43379,2.23594,1.31645,1.98629,-0.49869,2.29975,0.34362,-1.42475,-0.56794
1.96058,6.85015,1.75574,0.38151,1.71977,1.49520,1.44839,-0.67394,-2.32493,-0.45023,-0.89550,1.02645,0.19414,-1.19535,-0.55067,-0.56526,-0.44670,-0.35643,-0.15420,-0.30898,-0.75046,0.28843,-0.56566,0.01042,0.32424,0.12021
0.55340,6.65854,1.28263,1.45982,1.67519,1.43397,0.75339,0.90409,-0.85320,0.17184,0.77235,-0.53608,2.27232,2.50530,2.35988,2.26846,1.60358,1.17268,1.06497,0.02431,2.89890,-0.97334,1.71885,0.06488,-1.22563,-0.84624
2.55552,4.53903,1.24962,0.61928,1.67220,1.50009,0.33711,-1.18413,-2.82504,-0.81149,-1.08242,0.53473,0.09587,-1.79915,-0.36853,-0.89468,-0.57921,-0.59366,-0.32880,-0.12680,-0.76277,0.44070,-0.75968,0.07641,0.72311,0.36683
2.40240,3.39757,1.23902,1.04791,1.57801,1.45476,-0.38828,-0.69552,-2.73886,1.50402,-0.61734,-1.49619,2.55644,-0.61028,-0.90877,-1.71488,0.66402,-0.93161,-0.09454,0.61804,-0.06568,-1.23114,-1.49374,0.79616,1.39980,0.84304
2.86565,7.83779,1.60307,0.85874,1.83006,1.46381,3.14613,1.13973,-3.18525,-1.71126,0.20780,0.14392,-1.85205,0.19639,-0.30258,-0.55253,-0.77071,1.71106,-0.65625,-1.20638,-0.70324,0.11725,-1.57598,-0.65991,-1.34382,-0.40070
2.75943,9.95739,1.57390,0.03142,1.52458,1.48377,0.21452,0.19652,-2.77351,0.02154,-0.60729,0.14893,1.44008,-1.85530,-0.04594,-0.02775,0.05363,-0.02649,-0.06829,-0.00566,-0.00518,0.03711,0.01525,-0.00106,0.02156,0.02149
3.82800,6.11059,1.66938,0.02582,1.53332,1.43935,0.90208,0.76418,-4.38107,-0.22971,-1.50002,0.90648,1.43223,-0.36875,-0.02471,0.00656,0.01675,0.00117,-0.02270,0.00084,-0.01413,0.03319,-0.00151,-0.00168,-0.02261,0.02694
2.48658,3.96173,1.26049,0.35177,1.70764,1.47342,0.36789,0.73961,-2.68020,-1.53597,2.53046,-0.43528,-0.93700,0.26052,-0.06131,-0.24697,-0.36481,0.15771,-0.12116,0.69379,0.08573,0.08094,-1.06895,-0.28022,0.38884,-0.39370
0.62844,7.25657,1.62317,0.73780,1.62995,1.47770,2.21960,-1.22891,-1.10423,1.62392,0.70308,0.04931,2.70173,0.77637,0.72238,2.17576,0.67994,1.08368,0.62684,0.30368,0.22751,-0.67293,1.48766,0.19321,0.34642,-0.07890
1.22337,3.53275,0.68120,0.11901,1.61239,1.45305,-0.13483,1.51407,-1.22288,-0.10416,0.01839,-0.01051,-0.34573,-0.18583,-0.09250,-0.34087,-0.08564,-0.11688,-0.10640,0.01817,-0.04596,0.08227,-0.22556,-0.06310,-0.05449,-0.02583
0.77689,4.36354,0.71073,0.14934,1.61110,1.48183,0.07428,1.71050,-1.10460,-0.56065,0.54022,-0.13833,0.81682,-0.04568,0.04170,-0.25421,-0.23199,-0.15602,-0.20343,-0.03866,-0.02036,0.10521,-0.32251,-0.22351,-0.07924,0.08416
1.85434,4.40110,1.18131,0.39811,1.73650,1.47401,2.38674,-1.60048,1.81193,-0.71341,-0.43806,-0.68011,0.34743,2.20618,-0.04330,-0.04755,0.01828,0.22059,0.46128,1.06174,0.00705,0.45197,-0.60571,-0.21545,-0.05626,0.53887
4.45715,3.20143,1.77987,0.44282,1.52873,1.46456,2.69115,-1.91958,2.13789,2.06649,-3.85629,-0.09151,2.26744,2.95222,0.00442,-0.36595,0.58025,-0.05656,0.25785,0.68867,0.22544,0.42867,-0.68469,-0.42838,0.15557,0.10440
1.36623,6.86571,0.35737,1.64800,1.58880,1.50777,0.17968,-0.10491,-0.43897,-0.15352,0.06693,0.62200,-0.54995,-0.10233,1.43800,2.25264,-1.19454,1.05715,2.88098,-0.12026,1.48431,-0.08691,0.88097,-0.91001,1.43617,3.20836
16.28746,12.39248,2.01923,0.06056,1.60605,1.43748,-1.43874,-0.63604,1.96365,0.18462,-1.09137,-3.50587,3.62775,2.21431,-0.04793,-0.08842,0.04606,-0.04184,-0.08542,-0.01018,-0.03967,0.00270,-0.00822,0.05381,-0.07980,-0.12186
8.31584,6.70026,0.79103,2.29362,1.51430,1.44890,-0.00627,1.10367,0.23793,-1.03165,0.62178,2.15111,-2.04248,0.16999,3.18197,1.66898,-4.55968,-0.12276,2.93422,2.02876,0.71484,1.54355,0.53607,-0.63787,1.20631,-0.32281
6.87510,6.82704,0.30651,0.17384,1.61918,1.50576,-0.43925,-0.39903,-0.10775,0.32910,-0.09702,-0.88354,0.79989,-0.06054,-0.24555,-0.09357,0.36383,-0.06007,-0.12752,-0.09332,-0.02855,-0.18213,-0.15136,0.09777,-0.11941,-0.02732
6.63495,4.61216,1.79345,0.05399,1.63545,1.51310,-4.74560,0.92184,2.66474,-1.08643,-0.41970,0.07611,-4.34768,1.25558,-0.03140,0.04308,-0.12512,0.03419,-0.15953,0.04411,0.01124,-0.09627,-0.05289,-0.03017,-0.02375,0.03790
13.01946,5.66848,0.62750,0.20366,1.42088,1.44294,0.25846,0.21265,-0.39980,-0.81083,-0.24058,0.24622,0.66414,-0.19576,-0.08963,-0.32528,0.39655,0.06542,0.05453,-0.07429,-0.14970,0.40135,-0.09132,0.16076,0.00742,0.05153
1.30496,5.29068,1.95552,0.52321,1.69564,1.48663,-0.52659,-0.11321,0.02610,2.90937,0.43855,-1.46899,-1.13161,2.83578,-0.12572,0.96424,-0.86663,-0.48840,-0.74681,0.55609,0.58486,-0.41068,-0.21683,-0.86190,-0.06293,-0.73763
4.09776,6.43774,0.34581,0.35670,1.71030,1.51207,0.23194,-0.09109,0.14881,0.25765,-0.21248,-0.01530,0.38166,0.47736,0.07336,0.19381,-0.78932,-0.03447,-0.38152,0.58926,0.12403,-0.39229,0.27227,-0.34137,0.31529,-0.46578
4.90753,9.89224,0.30882,0.90391,1.56237,1.49279,0.32442,-0.64919,0.22914,0.06231,-0.12660,-0.08524,-0.09918,0.31977,0.03555,-0.80734,-1.75817,-0.37528,-0.57042,1.13563,0.46041,-1.00218,-0.47457,-1.62407,0.60861,-1.34332
3.61477,3.09654,0.14667,1.47309,1.52829,1.42917,-0.06523,0.33022,-0.14727,-0.04110,0.05826,0.04068,-0.00422,-0.09542,0.07372,1.52604,2.81707,0.64936,1.40074,-1.47236,-0.65360,1.62962,0.43731,2.72280,-1.44328,2.27114
6.21818,6.88649,0.14571,0.46030,1.59873,1.48027,-0.11206,0.32851,0.08494,0.13183,-0.00513,0.01108,-0.19045,0.08555,0.08472,0.39880,0.48687,-0.05039,-0.19102,0.11045,1.16391,1.09416,1.03606,0.72228,0.41357,0.00176
3.02136,4.61761,0.04811,0.66875,1.50160,1.45575,0.02944,-0.08180,-0.02608,-0.04643,-0.00406,0.00141,0.04535,-0.00805,0.31208,-0.40638,-0.70385,0.08327,0.35314,-0.26493,-1.72180,-1.44919,-1.65307,-0.92586,-0.68018,-0.13732
2.32018,6.45105,0.09194,1.02187,1.58716,1.45861,-0.11662,0.02855,-0.16201,-0.07298,-0.20734,0.05780,-0.14857,-0.06670,-0.30403,0.07261,1.20667,1.62937,-0.67922,-0.43972,1.45227,0.79768,0.06156,0.55949,-0.35373,1.35269
